contract_id,account_id,pricing_type,included_usage_units,overage_rate,contract_start,contract_end,renewal_date,auto_renew
CTR-026,ACC-026,usage-based,120000,0.05,2025-03-28,2026-03-28,2026-03-28,False
CTR-027,ACC-027,usage-based,110000,0.05,2024-10-11,2025-10-11,2025-10-11,False
CTR-028,ACC-028,usage-based,112399,0.0173,2024-09-26,2025-09-26,2025-09-26,True
CTR-029,ACC-029,usage-based,150000,0.05,2025-02-10,2026-02-10,2026-02-10,True
CTR-030,ACC-030,hybrid,65000,0.0274,2025-04-05,2026-04-05,2026-04-05,False
CTR-031,ACC-031,hybrid,9494,0.0447,2025-04-03,2026-04-03,2026-04-03,True
CTR-032,ACC-032,usage-based,130000,0.05,2025-01-02,2026-01-02,2026-01-02,True
CTR-033,ACC-033,usage-based,107856,0.0165,2025-02-13,2026-02-13,2026-02-13,False
CTR-034,ACC-034,usage-based,100000,0.05,2024-09-01,2025-09-01,2025-09-01,True
CTR-035,ACC-035,usage-based,160000,0.05,2024-11-24,2025-11-24,2025-11-24,False
CTR-036,ACC-036,usage-based,43356,0.0198,2024-09-14,2025-09-14,2025-09-14,True
CTR-037,ACC-037,usage-based,69102,0.043,2024-12-08,2025-12-08,2025-12-08,True
CTR-038,ACC-038,usage-based,140000,0.05,2025-05-25,2026-05-25,2026-05-25,True
CTR-039,ACC-039,usage-based,7916,0.0617,2024-09-16,2025-09-16,2025-09-16,True
CTR-040,ACC-040,usage-based,120000,0.05,2025-04-10,2026-04-10,2026-04-10,True
CTR-041,ACC-041,usage-based,106552,0.0234,2025-01-28,2026-01-28,2026-01-28,False
CTR-042,ACC-042,usage-based,130000,0.05,2024-12-26,2025-12-26,2025-12-26,False
CTR-043,ACC-043,usage-based,201707,0.0089,2025-02-26,2026-02-26,2026-02-26,True
CTR-044,ACC-044,usage-based,14521,0.0426,2024-12-17,2025-12-17,2025-12-17,False
CTR-045,ACC-045,usage-based,160000,0.05,2025-03-28,2026-03-28,2026-03-28,True
CTR-046,ACC-046,usage-based,79787,0.0377,2025-05-03,2026-05-03,2026-05-03,True
CTR-047,ACC-047,usage-based,116279,0.0193,2025-02-28,2026-02-28,2026-02-28,False
CTR-048,ACC-048,usage-based,47430,0.0418,2025-01-09,2026-01-09,2026-01-09,True
CTR-049,ACC-049,hybrid,17210,0.0585,2025-02-22,2026-02-22,2026-02-22,True
CTR-050,ACC-050,usage-based,18132,0.044,2024-10-05,2025-10-05,2025-10-05,False
CTR-051,ACC-051,hybrid,17639,0.0541,2024-09-24,2025-09-24,2025-09-24,False
CTR-052,ACC-052,usage-based,123720,0.0099,2024-08-16,2025-08-16,2025-08-16,True
CTR-053,ACC-053,usage-based,79335,0.0198,2024-10-25,2025-10-25,2025-10-25,False
CTR-055,ACC-055,usage-based,76577,0.0321,2024-10-14,2025-10-14,2025-10-14,True
CTR-056,ACC-056,usage-based,17443,0.0573,2025-05-12,2026-05-12,2026-05-12,True
CTR-057,ACC-057,usage-based,55659,0.0426,2025-03-30,2026-03-30,2026-03-30,False
CTR-058,ACC-058,hybrid,19440,0.0316,2025-01-13,2026-01-13,2026-01-13,False
CTR-059,ACC-059,usage-based,53000,0.0222,2024-08-31,2025-08-31,2025-08-31,True
CTR-060,ACC-060,usage-based,67898,0.0412,2024-09-03,2025-09-03,2025-09-03,True
CTR-061,ACC-061,usage-based,193468,0.0192,2025-01-19,2026-01-19,2026-01-19,False
CTR-062,ACC-062,usage-based,46659,0.0349,2024-11-10,2025-11-10,2025-11-10,True
CTR-063,ACC-063,usage-based,82000,0.0418,2025-04-29,2026-04-29,2026-04-29,True
CTR-064,ACC-064,usage-based,10142,0.0477,2024-09-28,2025-09-28,2025-09-28,False
CTR-065,ACC-065,usage-based,10419,0.0326,2024-09-17,2025-09-17,2025-09-17,False
CTR-066,ACC-066,usage-based,143148,0.0136,2025-01-04,2026-01-04,2026-01-04,True
CTR-067,ACC-067,usage-based,212888,0.0118,2024-11-14,2025-11-14,2025-11-14,False
CTR-068,ACC-068,usage-based,77549,0.022,2024-10-03,2025-10-03,2025-10-03,False
CTR-069,ACC-069,usage-based,230217,0.0156,2024-08-21,2025-08-21,2025-08-21,False
CTR-070,ACC-070,usage-based,53299,0.0245,2024-09-14,2025-09-14,2025-09-14,True
CTR-071,ACC-071,hybrid,8363,0.0441,2025-05-08,2026-05-08,2026-05-08,True
CTR-072,ACC-072,usage-based,78126,0.0177,2024-12-22,2025-12-22,2025-12-22,True
CTR-073,ACC-073,usage-based,199592,0.0242,2024-11-21,2025-11-21,2025-11-21,True
CTR-074,ACC-074,usage-based,77515,0.0217,2024-10-06,2025-10-06,2025-10-06,False
CTR-075,ACC-075,usage-based,82000,0.0362,2024-09-26,2025-09-26,2025-09-26,False
CTR-076,ACC-076,usage-based,198628,0.0099,2025-02-02,2026-02-02,2026-02-02,True
CTR-077,ACC-077,usage-based,46371,0.0257,2024-12-28,2025-12-28,2025-12-28,False
CTR-078,ACC-078,usage-based,107871,0.0088,2025-03-03,2026-03-03,2026-03-03,False
CTR-079,ACC-079,usage-based,9602,0.0588,2024-10-29,2025-10-29,2025-10-29,True
CTR-080,ACC-080,usage-based,40665,0.0333,2025-02-19,2026-02-19,2026-02-19,True
CTR-081,ACC-081,usage-based,84962,0.0406,2025-02-05,2026-02-05,2026-02-05,False
CTR-082,ACC-082,usage-based,129959,0.0202,2025-04-01,2026-04-01,2026-04-01,False
CTR-083,ACC-083,usage-based,92189,0.0238,2025-03-24,2026-03-24,2026-03-24,False
CTR-084,ACC-084,usage-based,53975,0.0348,2024-09-10,2025-09-10,2025-09-10,True
CTR-085,ACC-085,usage-based,210764,0.0081,2025-05-02,2026-05-02,2026-05-02,False
CTR-086,ACC-086,usage-based,78972,0.0326,2024-08-23,2025-08-23,2025-08-23,True
CTR-087,ACC-087,usage-based,231664,0.011,2025-03-22,2026-03-22,2026-03-22,True
CTR-088,ACC-088,usage-based,73000,0.029,2024-12-13,2025-12-13,2025-12-13,False
CTR-089,ACC-089,usage-based,51437,0.0444,2025-01-19,2026-01-19,2026-01-19,False
CTR-090,ACC-090,usage-based,184299,0.0244,2024-12-27,2025-12-27,2025-12-27,False
CTR-091,ACC-091,usage-based,76743,0.019,2024-10-27,2025-10-27,2025-10-27,False
CTR-092,ACC-092,usage-based,223604,0.0226,2025-02-04,2026-02-04,2026-02-04,True
CTR-093,ACC-093,usage-based,37743,0.0337,2024-12-29,2025-12-29,2025-12-29,False
CTR-094,ACC-094,usage-based,124000,0.0434,2025-03-20,2026-03-20,2026-03-20,True
CTR-095,ACC-095,usage-based,57023,0.0313,2024-12-12,2025-12-12,2025-12-12,True
CTR-096,ACC-096,hybrid,16542,0.0497,2024-10-25,2025-10-25,2025-10-25,False
CTR-097,ACC-097,usage-based,190726,0.0217,2024-09-01,2025-09-01,2025-09-01,True
CTR-098,ACC-098,usage-based,86624,0.0145,2025-04-29,2026-04-29,2026-04-29,True
CTR-099,ACC-099,usage-based,37100,0.023,2025-03-05,2026-03-05,2026-03-05,False
CTR-100,ACC-100,usage-based,68786,0.0225,2025-04-25,2026-04-25,2026-04-25,False
CTR-101,ACC-101,usage-based,133477,0.0208,2025-05-10,2026-05-10,2026-05-10,False
CTR-102,ACC-102,usage-based,77348,0.0286,2025-02-01,2026-02-01,2026-02-01,False
CTR-103,ACC-103,hybrid,12785,0.0479,2024-08-19,2025-08-19,2025-08-19,False
CTR-104,ACC-104,usage-based,69412,0.0349,2024-11-12,2025-11-12,2025-11-12,False
CTR-105,ACC-105,usage-based,51300,0.0437,2024-12-17,2025-12-17,2025-12-17,True
CTR-106,ACC-106,usage-based,83398,0.0206,2025-02-12,2026-02-12,2026-02-12,False
CTR-108,ACC-108,usage-based,78393,0.0218,2024-11-19,2025-11-19,2025-11-19,True
CTR-109,ACC-109,usage-based,74865,0.0367,2025-02-16,2026-02-16,2026-02-16,False
CTR-110,ACC-110,usage-based,53413,0.0203,2025-04-18,2026-04-18,2026-04-18,True
CTR-111,ACC-111,usage-based,10694,0.0557,2025-03-26,2026-03-26,2026-03-26,False
CTR-112,ACC-112,usage-based,88000,0.0258,2025-01-04,2026-01-04,2026-01-04,False
CTR-113,ACC-113,usage-based,32524,0.0198,2025-01-16,2026-01-16,2026-01-16,True
CTR-114,ACC-114,usage-based,166655,0.0159,2025-03-08,2026-03-08,2026-03-08,True
CTR-115,ACC-115,usage-based,10036,0.0625,2025-04-30,2026-04-30,2026-04-30,False
CTR-116,ACC-116,usage-based,56148,0.0387,2024-11-24,2025-11-24,2025-11-24,True
CTR-117,ACC-117,usage-based,61000,0.0361,2024-12-15,2025-12-15,2025-12-15,True
CTR-118,ACC-118,usage-based,128200,0.0169,2024-09-10,2025-09-10,2025-09-10,True
CTR-119,ACC-119,usage-based,51258,0.0313,2024-11-01,2025-11-01,2025-11-01,True
CTR-120,ACC-120,usage-based,16449,0.0377,2024-07-31,2025-07-31,2025-07-31,False
CTR-121,ACC-121,usage-based,166787,0.0141,2025-02-04,2026-02-04,2026-02-04,False
CTR-122,ACC-122,usage-based,227150,0.022,2025-05-22,2026-05-22,2026-05-22,True
CTR-123,ACC-123,usage-based,67839,0.0254,2025-01-23,2026-01-23,2026-01-23,True
CTR-124,ACC-124,usage-based,90453,0.0196,2024-12-13,2025-12-13,2025-12-13,False
CTR-125,ACC-125,usage-based,94000,0.0433,2025-03-29,2026-03-29,2026-03-29,False
CTR-126,ACC-126,usage-based,40815,0.0312,2025-01-02,2026-01-02,2026-01-02,True
CTR-127,ACC-127,usage-based,21936,0.0588,2024-11-16,2025-11-16,2025-11-16,False
CTR-128,ACC-128,usage-based,55903,0.0163,2025-02-17,2026-02-17,2026-02-17,False
CTR-129,ACC-129,usage-based,57678,0.0175,2025-04-07,2026-04-07,2026-04-07,True
CTR-130,ACC-130,usage-based,74680,0.0311,2025-05-23,2026-05-23,2026-05-23,True
CTR-131,ACC-131,hybrid,11906,0.0535,2025-02-06,2026-02-06,2026-02-06,False
CTR-132,ACC-132,usage-based,78766,0.0181,2024-08-24,2025-08-24,2025-08-24,False
CTR-133,ACC-133,hybrid,7363,0.0561,2025-03-09,2026-03-09,2026-03-09,True
CTR-134,ACC-134,usage-based,54095,0.0365,2025-05-07,2026-05-07,2026-05-07,True
CTR-135,ACC-135,usage-based,99201,0.0089,2025-01-18,2026-01-18,2026-01-18,True
CTR-136,ACC-136,usage-based,230722,0.022,2025-01-14,2026-01-14,2026-01-14,False
CTR-137,ACC-137,usage-based,49430,0.0285,2024-08-06,2025-08-06,2025-08-06,False
CTR-138,ACC-138,usage-based,15367,0.0306,2025-03-27,2026-03-27,2026-03-27,True
CTR-139,ACC-139,usage-based,66036,0.0366,2025-04-24,2026-04-24,2026-04-24,True
CTR-140,ACC-140,usage-based,69933,0.0404,2024-11-24,2025-11-24,2025-11-24,True
CTR-141,ACC-141,usage-based,155978,0.0214,2024-12-23,2025-12-23,2025-12-23,True
CTR-142,ACC-142,usage-based,42449,0.038,2024-10-14,2025-10-14,2025-10-14,False
CTR-143,ACC-143,usage-based,49894,0.0397,2025-05-11,2026-05-11,2026-05-11,False
CTR-144,ACC-144,usage-based,120979,0.0171,2025-03-18,2026-03-18,2026-03-18,False
CTR-145,ACC-145,usage-based,76217,0.0389,2024-12-26,2025-12-26,2025-12-26,True
CTR-146,ACC-146,usage-based,49000,0.0274,2024-11-16,2025-11-16,2025-11-16,True
CTR-147,ACC-147,hybrid,9632,0.0343,2025-05-24,2026-05-24,2026-05-24,False
CTR-148,ACC-148,usage-based,59202,0.0314,2025-04-13,2026-04-13,2026-04-13,False
CTR-149,ACC-149,usage-based,94000,0.0292,2024-12-01,2025-12-01,2025-12-01,True
CTR-150,ACC-150,usage-based,51043,0.0422,2024-09-06,2025-09-06,2025-09-06,True
CTR-151,ACC-151,hybrid,10274,0.0364,2025-01-17,2026-01-17,2026-01-17,True
CTR-152,ACC-152,usage-based,31511,0.0204,2025-04-29,2026-04-29,2026-04-29,False
CTR-153,ACC-153,usage-based,7396,0.0402,2025-04-22,2026-04-22,2026-04-22,False
CTR-154,ACC-154,usage-based,30435,0.0209,2024-08-12,2025-08-12,2025-08-12,False
CTR-155,ACC-155,usage-based,45682,0.0257,2025-01-26,2026-01-26,2026-01-26,True
CTR-156,ACC-156,usage-based,136000,0.0307,2025-04-21,2026-04-21,2026-04-21,True
CTR-157,ACC-157,usage-based,15413,0.047,2024-12-09,2025-12-09,2025-12-09,False
CTR-158,ACC-158,usage-based,233136,0.0106,2024-11-21,2025-11-21,2025-11-21,False
CTR-159,ACC-159,usage-based,192278,0.0109,2024-12-17,2025-12-17,2025-12-17,True
CTR-161,ACC-161,usage-based,75489,0.0216,2024-10-15,2025-10-15,2025-10-15,False
CTR-162,ACC-162,usage-based,174237,0.0103,2024-12-08,2025-12-08,2025-12-08,False
CTR-163,ACC-163,usage-based,201332,0.0156,2024-12-21,2025-12-21,2025-12-21,False
CTR-164,ACC-164,hybrid,8566,0.0362,2025-04-15,2026-04-15,2026-04-15,False
CTR-165,ACC-165,usage-based,80276,0.0398,2024-08-24,2025-08-24,2025-08-24,True
CTR-166,ACC-166,usage-based,41251,0.037,2025-04-17,2026-04-17,2026-04-17,True
CTR-167,ACC-167,usage-based,82465,0.0156,2024-09-09,2025-09-09,2025-09-09,True
CTR-168,ACC-168,usage-based,18275,0.0569,2025-02-07,2026-02-07,2026-02-07,True
CTR-169,ACC-169,usage-based,60149,0.0228,2024-09-27,2025-09-27,2025-09-27,True
CTR-170,ACC-170,usage-based,175897,0.0147,2024-12-29,2025-12-29,2025-12-29,True
CTR-171,ACC-171,usage-based,54454,0.03,2024-07-27,2025-07-27,2025-07-27,False
CTR-172,ACC-172,usage-based,47846,0.0301,2025-01-24,2026-01-24,2026-01-24,True
CTR-173,ACC-173,usage-based,73624,0.0304,2024-10-10,2025-10-10,2025-10-10,True
CTR-174,ACC-174,usage-based,35740,0.032,2025-03-13,2026-03-13,2026-03-13,False
CTR-175,ACC-175,usage-based,69000,0.0389,2025-05-06,2026-05-06,2026-05-06,True
CTR-176,ACC-176,usage-based,73903,0.0296,2025-04-24,2026-04-24,2026-04-24,False
CTR-177,ACC-177,usage-based,48211,0.022,2025-02-10,2026-02-10,2026-02-10,False
CTR-178,ACC-178,usage-based,181736,0.016,2024-10-06,2025-10-06,2025-10-06,True
CTR-179,ACC-179,usage-based,26615,0.0444,2024-12-12,2025-12-12,2025-12-12,True
CTR-180,ACC-180,usage-based,70120,0.0441,2025-01-06,2026-01-06,2026-01-06,False
CTR-181,ACC-181,usage-based,61921,0.0313,2025-02-26,2026-02-26,2026-02-26,False
CTR-182,ACC-182,usage-based,179226,0.0142,2025-04-17,2026-04-17,2026-04-17,False
CTR-183,ACC-183,usage-based,48663,0.0442,2025-02-01,2026-02-01,2026-02-01,False
CTR-184,ACC-184,hybrid,16563,0.0586,2024-12-01,2025-12-01,2025-12-01,False
CTR-185,ACC-185,usage-based,75947,0.0295,2025-05-23,2026-05-23,2026-05-23,True
CTR-186,ACC-186,usage-based,100000,0.0338,2025-01-29,2026-01-29,2026-01-29,True
CTR-187,ACC-187,usage-based,106000,0.0353,2025-01-03,2026-01-03,2026-01-03,True
CTR-188,ACC-188,usage-based,33846,0.0206,2024-08-05,2025-08-05,2025-08-05,True
CTR-189,ACC-189,hybrid,12547,0.0445,2024-12-08,2025-12-08,2025-12-08,True
CTR-190,ACC-190,hybrid,20778,0.0536,2024-09-23,2025-09-23,2025-09-23,True
CTR-191,ACC-191,usage-based,62718,0.0198,2024-10-28,2025-10-28,2025-10-28,True
CTR-192,ACC-192,hybrid,12984,0.0315,2025-03-05,2026-03-05,2026-03-05,True
CTR-193,ACC-193,usage-based,65257,0.0304,2025-03-12,2026-03-12,2026-03-12,True
CTR-194,ACC-194,hybrid,10450,0.039,2025-02-23,2026-02-23,2026-02-23,False
CTR-195,ACC-195,usage-based,237117,0.0245,2025-05-17,2026-05-17,2026-05-17,False
CTR-196,ACC-196,usage-based,102478,0.0117,2024-09-27,2025-09-27,2025-09-27,False
CTR-197,ACC-197,usage-based,35178,0.0216,2024-10-28,2025-10-28,2025-10-28,True
CTR-198,ACC-198,usage-based,232737,0.0219,2025-02-22,2026-02-22,2026-02-22,False
CTR-199,ACC-199,usage-based,34991,0.0367,2024-12-02,2025-12-02,2025-12-02,False
CTR-200,ACC-200,usage-based,236377,0.018,2025-01-29,2026-01-29,2026-01-29,False
CTR-201,ACC-201,hybrid,17630,0.0346,2025-05-18,2026-05-18,2026-05-18,True
CTR-202,ACC-202,usage-based,58256,0.0408,2024-09-10,2025-09-10,2025-09-10,False
CTR-203,ACC-203,usage-based,78166,0.0195,2025-04-07,2026-04-07,2026-04-07,True
CTR-204,ACC-204,usage-based,57000,0.0306,2025-05-07,2026-05-07,2026-05-07,True
CTR-205,ACC-205,usage-based,104429,0.0162,2024-07-29,2025-07-29,2025-07-29,True
CTR-206,ACC-206,usage-based,82783,0.0431,2024-10-18,2025-10-18,2025-10-18,False
CTR-207,ACC-207,hybrid,17136,0.0606,2024-08-28,2025-08-28,2025-08-28,False
CTR-208,ACC-208,usage-based,39039,0.0432,2024-09-22,2025-09-22,2025-09-22,False
CTR-209,ACC-209,usage-based,16485,0.0506,2025-04-06,2026-04-06,2026-04-06,False
CTR-210,ACC-210,usage-based,9387,0.0389,2025-01-27,2026-01-27,2026-01-27,True
CTR-211,ACC-211,hybrid,14282,0.0509,2024-10-29,2025-10-29,2025-10-29,False
CTR-212,ACC-212,usage-based,36387,0.0152,2025-05-23,2026-05-23,2026-05-23,True
CTR-214,ACC-214,hybrid,5235,0.0431,2025-02-10,2026-02-10,2026-02-10,False
CTR-215,ACC-215,usage-based,187176,0.0142,2025-03-08,2026-03-08,2026-03-08,False
CTR-216,ACC-216,usage-based,66701,0.0326,2025-01-13,2026-01-13,2026-01-13,False
CTR-217,ACC-217,usage-based,16981,0.0514,2024-11-04,2025-11-04,2025-11-04,True
CTR-218,ACC-218,usage-based,76000,0.0333,2024-09-21,2025-09-21,2025-09-21,True
CTR-219,ACC-219,usage-based,48262,0.0318,2024-09-21,2025-09-21,2025-09-21,False
CTR-220,ACC-220,usage-based,15048,0.0502,2024-11-04,2025-11-04,2025-11-04,True
CTR-221,ACC-221,usage-based,80033,0.0409,2025-03-27,2026-03-27,2026-03-27,True
CTR-222,ACC-222,usage-based,197072,0.0213,2024-08-24,2025-08-24,2025-08-24,True
CTR-223,ACC-223,usage-based,106000,0.027,2024-09-08,2025-09-08,2025-09-08,False
CTR-224,ACC-224,usage-based,75516,0.0252,2025-04-30,2026-04-30,2026-04-30,True
CTR-225,ACC-225,usage-based,49500,0.0439,2025-05-24,2026-05-24,2026-05-24,True
CTR-226,ACC-226,usage-based,77952,0.0194,2024-10-16,2025-10-16,2025-10-16,True
CTR-227,ACC-227,hybrid,7099,0.0392,2024-11-18,2025-11-18,2025-11-18,True
CTR-228,ACC-228,usage-based,239653,0.0086,2024-11-11,2025-11-11,2025-11-11,False
CTR-229,ACC-229,usage-based,64236,0.0347,2024-12-31,2025-12-31,2025-12-31,True
CTR-230,ACC-230,usage-based,74699,0.0396,2024-09-15,2025-09-15,2025-09-15,False
CTR-231,ACC-231,usage-based,5350,0.0371,2024-09-03,2025-09-03,2025-09-03,False
CTR-232,ACC-232,usage-based,131051,0.0086,2024-09-07,2025-09-07,2025-09-07,True
CTR-233,ACC-233,usage-based,45000,0.0331,2025-05-08,2026-05-08,2026-05-08,False
CTR-234,ACC-234,usage-based,142719,0.0191,2025-03-07,2026-03-07,2026-03-07,True
CTR-235,ACC-235,usage-based,152335,0.0213,2024-11-27,2025-11-27,2025-11-27,False
CTR-236,ACC-236,usage-based,50571,0.0326,2024-09-03,2025-09-03,2025-09-03,True
CTR-237,ACC-237,usage-based,72295,0.0361,2025-04-10,2026-04-10,2026-04-10,False
CTR-238,ACC-238,usage-based,71588,0.0399,2024-11-29,2025-11-29,2025-11-29,False
CTR-239,ACC-239,usage-based,77445,0.0233,2024-08-13,2025-08-13,2025-08-13,True
CTR-240,ACC-240,usage-based,53803,0.0429,2025-05-24,2026-05-24,2026-05-24,False
CTR-241,ACC-241,usage-based,35471,0.0272,2025-04-02,2026-04-02,2026-04-02,True
CTR-242,ACC-242,usage-based,56975,0.0238,2025-03-28,2026-03-28,2026-03-28,False
CTR-243,ACC-243,usage-based,81416,0.0311,2025-01-18,2026-01-18,2026-01-18,False
CTR-244,ACC-244,usage-based,17356,0.0497,2025-01-22,2026-01-22,2026-01-22,False
CTR-245,ACC-245,usage-based,74829,0.0288,2024-10-03,2025-10-03,2025-10-03,True
CTR-246,ACC-246,usage-based,206345,0.01,2025-04-22,2026-04-22,2026-04-22,False
CTR-247,ACC-247,usage-based,65527,0.0387,2025-02-03,2026-02-03,2026-02-03,True
CTR-248,ACC-248,usage-based,76439,0.0245,2024-11-27,2025-11-27,2025-11-27,True
CTR-249,ACC-249,usage-based,118000,0.039,2025-01-12,2026-01-12,2026-01-12,True
CTR-250,ACC-250,usage-based,155311,0.0096,2024-12-02,2025-12-02,2025-12-02,True
CTR-251,ACC-251,usage-based,60343,0.0429,2024-09-25,2025-09-25,2025-09-25,False
CTR-252,ACC-252,usage-based,172677,0.0117,2025-01-09,2026-01-09,2026-01-09,True
CTR-253,ACC-253,usage-based,72900,0.0355,2025-02-18,2026-02-18,2026-02-18,False
CTR-254,ACC-254,usage-based,72307,0.021,2025-01-23,2026-01-23,2026-01-23,False
CTR-255,ACC-255,usage-based,37551,0.0219,2025-01-19,2026-01-19,2026-01-19,False
CTR-256,ACC-256,usage-based,120893,0.0212,2024-07-28,2025-07-28,2025-07-28,True
CTR-257,ACC-257,usage-based,209149,0.0184,2025-05-05,2026-05-05,2026-05-05,False
CTR-258,ACC-258,usage-based,48326,0.0336,2024-09-16,2025-09-16,2025-09-16,False
CTR-259,ACC-259,usage-based,56165,0.0205,2024-09-07,2025-09-07,2025-09-07,False
CTR-260,ACC-260,usage-based,112000,0.033,2025-03-22,2026-03-22,2026-03-22,True
CTR-261,ACC-261,usage-based,18866,0.0467,2025-05-10,2026-05-10,2026-05-10,False
CTR-262,ACC-262,usage-based,65000,0.0291,2025-02-26,2026-02-26,2026-02-26,False
CTR-263,ACC-263,usage-based,111553,0.0199,2024-10-03,2025-10-03,2025-10-03,False
CTR-264,ACC-264,usage-based,69168,0.0153,2025-02-08,2026-02-08,2026-02-08,False
CTR-265,ACC-265,usage-based,62076,0.018,2024-11-22,2025-11-22,2025-11-22,False
CTR-267,ACC-267,usage-based,36265,0.0315,2025-01-25,2026-01-25,2026-01-25,False
CTR-268,ACC-268,usage-based,54890,0.0438,2024-12-02,2025-12-02,2025-12-02,False
CTR-269,ACC-269,usage-based,36052,0.03,2025-02-08,2026-02-08,2026-02-08,False
CTR-270,ACC-270,usage-based,177598,0.0142,2024-11-02,2025-11-02,2025-11-02,False
CTR-271,ACC-271,usage-based,53538,0.0204,2025-03-20,2026-03-20,2026-03-20,True
CTR-272,ACC-272,usage-based,77358,0.018,2025-01-08,2026-01-08,2026-01-08,True
CTR-273,ACC-273,usage-based,19162,0.06,2024-07-31,2025-07-31,2025-07-31,True
CTR-274,ACC-274,usage-based,76431,0.0438,2025-03-11,2026-03-11,2026-03-11,False
CTR-275,ACC-275,usage-based,76800,0.0153,2024-10-23,2025-10-23,2025-10-23,False
CTR-276,ACC-276,usage-based,32812,0.0449,2024-09-04,2025-09-04,2025-09-04,False
CTR-277,ACC-277,usage-based,75467,0.0296,2025-01-18,2026-01-18,2026-01-18,True
CTR-278,ACC-278,usage-based,184438,0.0097,2025-03-04,2026-03-04,2026-03-04,True
CTR-279,ACC-279,usage-based,38120,0.0394,2024-09-25,2025-09-25,2025-09-25,True
CTR-280,ACC-280,usage-based,88000,0.034,2024-12-06,2025-12-06,2025-12-06,False
CTR-281,ACC-281,usage-based,16828,0.0426,2025-01-15,2026-01-15,2026-01-15,False
CTR-282,ACC-282,usage-based,25299,0.0274,2024-11-28,2025-11-28,2025-11-28,True
CTR-283,ACC-283,usage-based,61804,0.0323,2024-08-24,2025-08-24,2025-08-24,True
CTR-284,ACC-284,usage-based,154608,0.014,2024-09-07,2025-09-07,2025-09-07,False
CTR-285,ACC-285,usage-based,74773,0.0371,2025-04-16,2026-04-16,2026-04-16,False
CTR-286,ACC-286,usage-based,14388,0.0462,2025-03-13,2026-03-13,2026-03-13,True
CTR-287,ACC-287,usage-based,65981,0.0392,2024-12-05,2025-12-05,2025-12-05,False
CTR-288,ACC-288,usage-based,18263,0.0597,2025-04-20,2026-04-20,2026-04-20,True
CTR-289,ACC-289,usage-based,122467,0.0138,2024-12-17,2025-12-17,2025-12-17,False
CTR-290,ACC-290,usage-based,66795,0.0237,2024-08-02,2025-08-02,2025-08-02,False
CTR-291,ACC-291,usage-based,53000,0.0269,2024-10-11,2025-10-11,2025-10-11,False
CTR-292,ACC-292,usage-based,73014,0.0326,2024-10-08,2025-10-08,2025-10-08,False
CTR-293,ACC-293,usage-based,34965,0.0205,2025-05-15,2026-05-15,2026-05-15,True
CTR-294,ACC-294,usage-based,141506,0.0193,2025-04-16,2026-04-16,2026-04-16,True
CTR-295,ACC-295,usage-based,34938,0.0269,2025-04-08,2026-04-08,2026-04-08,True
CTR-296,ACC-296,usage-based,81585,0.0292,2025-04-29,2026-04-29,2026-04-29,True
