opportunity_id,account_id,opportunity_name,stage,amount,close_date,type,owner,created_at
OPP-EXP-023,ACC-023,PolarisData Tech - Usage Expansion,proposal,97421.58,2025-11-09,expansion,Ana Rodriguez,2025-05-29T14:00:00
OPP-REN-024,ACC-024,EchoStream Solutions - Annual Renewal,proposal,219309.61,2025-10-03,renewal,Ana Rodriguez,2025-05-23T14:00:00
OPP-REN-025,ACC-025,AtlasFlow Computing - Annual Renewal,qualification,8390.35,2025-10-14,renewal,Ana Rodriguez,2025-06-19T14:00:00
OPP-REN-026,ACC-026,OrbitalData Inc - Annual Renewal,negotiation,235776.09,2025-11-03,renewal,James Wilson,2025-05-14T14:00:00
OPP-EXP-026,ACC-026,OrbitalData Inc - Usage Expansion,prospecting,81349.58,2025-12-02,expansion,James Wilson,2025-06-03T14:00:00
OPP-REN-027,ACC-027,SpectrumCloud Labs - Annual Renewal,proposal,541046.03,2025-10-27,renewal,Priya Patel,2025-06-13T14:00:00
OPP-REN-028,ACC-028,VectorMetrics Corp - Annual Renewal,qualification,636313.92,2025-07-30,renewal,Priya Patel,2025-06-04T14:00:00
OPP-REN-029,ACC-029,TitanStream Systems - Annual Renewal,proposal,366956.93,2025-12-04,renewal,Marcus Johnson,2025-06-30T14:00:00
OPP-EXP-029,ACC-029,TitanStream Systems - Usage Expansion,qualification,172621.52,2025-10-05,expansion,Marcus Johnson,2025-05-28T14:00:00
OPP-REN-030,ACC-030,GenesiData Analytics - Annual Renewal,qualification,39228.78,2026-01-05,renewal,James Wilson,2025-05-13T14:00:00
OPP-REN-031,ACC-031,CatalystCloud Co - Annual Renewal,proposal,37876.54,2025-12-16,renewal,Marcus Johnson,2025-05-09T14:00:00
OPP-REN-032,ACC-032,IonFlow Technologies - Annual Renewal,negotiation,210557.0,2025-08-04,renewal,Sarah Chen,2025-05-12T14:00:00
OPP-EXP-032,ACC-032,IonFlow Technologies - Usage Expansion,closed_lost,154613.13,2025-11-04,expansion,Sarah Chen,2025-06-28T14:00:00
OPP-REN-033,ACC-033,NimbusData Corp - Annual Renewal,negotiation,560301.08,2025-12-01,renewal,Marcus Johnson,2025-06-15T14:00:00
OPP-REN-034,ACC-034,ArcLight Analytics - Annual Renewal,proposal,454901.8,2025-12-15,renewal,Priya Patel,2025-06-08T14:00:00
OPP-REN-035,ACC-035,TridentStream Inc - Annual Renewal,qualification,285899.1,2025-09-18,renewal,Ana Rodriguez,2025-05-29T14:00:00
OPP-EXP-035,ACC-035,TridentStream Inc - Usage Expansion,closed_lost,78225.14,2025-10-04,expansion,Ana Rodriguez,2025-06-24T14:00:00
OPP-REN-036,ACC-036,KineticData Labs - Annual Renewal,qualification,219136.59,2025-11-01,renewal,Priya Patel,2025-05-17T14:00:00
OPP-REN-037,ACC-037,StellarFlow Systems - Annual Renewal,proposal,86127.2,2025-10-24,renewal,Sarah Chen,2025-04-22T14:00:00
OPP-REN-038,ACC-038,PhoenixMetrics Co - Annual Renewal,proposal,295057.37,2026-01-01,renewal,Marcus Johnson,2025-06-04T14:00:00
OPP-EXP-038,ACC-038,PhoenixMetrics Co - Usage Expansion,qualification,232584.88,2025-09-01,expansion,Marcus Johnson,2025-05-27T14:00:00
OPP-REN-039,ACC-039,DeltaCloud Solutions - Annual Renewal,qualification,10001.71,2025-10-23,renewal,Sarah Chen,2025-06-01T14:00:00
OPP-REN-040,ACC-040,HorizonData Tech - Annual Renewal,negotiation,319238.63,2025-09-27,renewal,James Wilson,2025-06-01T14:00:00
OPP-REN-041,ACC-041,PinnacleStream Corp - Annual Renewal,negotiation,647757.12,2025-12-19,renewal,Ana Rodriguez,2025-05-20T14:00:00
OPP-REN-042,ACC-042,RadiantFlow Inc - Annual Renewal,negotiation,416486.47,2025-08-18,renewal,James Wilson,2025-04-16T14:00:00
OPP-EXP-042,ACC-042,RadiantFlow Inc - Usage Expansion,proposal,179470.87,2025-09-29,expansion,James Wilson,2025-06-27T14:00:00
OPP-REN-043,ACC-043,QuantumBridge Labs - Annual Renewal,proposal,395525.59,2025-08-10,renewal,James Wilson,2025-05-27T14:00:00
OPP-REN-044,ACC-044,NexGenData Systems - Annual Renewal,qualification,9841.82,2025-09-25,renewal,Sarah Chen,2025-05-09T14:00:00
OPP-REN-045,ACC-045,AlphaStream Analytics - Annual Renewal,qualification,610836.27,2025-07-29,renewal,Marcus Johnson,2025-04-23T14:00:00
OPP-EXP-045,ACC-045,AlphaStream Analytics - Usage Expansion,prospecting,435594.92,2025-07-30,expansion,Marcus Johnson,2025-05-30T14:00:00
OPP-REN-046,ACC-046,OmegaCloud Corp - Annual Renewal,proposal,66952.45,2025-08-19,renewal,Marcus Johnson,2025-06-20T14:00:00
OPP-REN-047,ACC-047,FusionMetrics Inc - Annual Renewal,qualification,641632.8,2025-10-09,renewal,James Wilson,2025-06-21T14:00:00
OPP-REN-048,ACC-048,ZephyrData Solutions - Annual Renewal,qualification,219872.28,2025-10-19,renewal,Sarah Chen,2025-06-20T14:00:00
OPP-REN-049,ACC-049,CosmicFlow Tech - Annual Renewal,qualification,13654.58,2025-08-23,renewal,James Wilson,2025-04-13T14:00:00
OPP-EXP-049,ACC-049,CosmicFlow Tech - Usage Expansion,qualification,2870.09,2025-08-29,expansion,James Wilson,2025-06-01T14:00:00
OPP-REN-050,ACC-050,InfinityStream Labs - Annual Renewal,negotiation,13597.66,2025-09-23,renewal,James Wilson,2025-06-19T14:00:00
OPP-REN-051,ACC-051,AuroraData Corp - Annual Renewal,qualification,17698.47,2025-11-07,renewal,Marcus Johnson,2025-04-14T14:00:00
OPP-REN-052,ACC-052,TerraForge Analytics - Annual Renewal,negotiation,209241.65,2025-08-08,renewal,Ana Rodriguez,2025-06-27T14:00:00
OPP-REN-053,ACC-053,CelestialCloud Inc - Annual Renewal,negotiation,50925.34,2025-11-24,renewal,James Wilson,2025-04-22T14:00:00
OPP-REN-055,ACC-055,ThunderData Systems - Annual Renewal,proposal,162187.83,2025-08-13,renewal,Marcus Johnson,2025-06-19T14:00:00
OPP-REN-056,ACC-056,LuminousStream Labs - Annual Renewal,proposal,27368.96,2025-08-14,renewal,Ana Rodriguez,2025-06-11T14:00:00
OPP-EXP-056,ACC-056,LuminousStream Labs - Usage Expansion,qualification,14853.36,2025-08-17,expansion,Ana Rodriguez,2025-06-28T14:00:00
OPP-REN-057,ACC-057,EternalFlow Corp - Annual Renewal,qualification,142610.39,2025-08-31,renewal,Priya Patel,2025-05-26T14:00:00
OPP-REN-058,ACC-058,MajesticData Inc - Annual Renewal,proposal,18682.25,2025-12-10,renewal,James Wilson,2025-06-30T14:00:00
OPP-REN-059,ACC-059,SovereignCloud Tech - Annual Renewal,negotiation,123385.97,2025-07-27,renewal,Sarah Chen,2025-06-23T14:00:00
OPP-REN-060,ACC-060,GalacticMetrics Solutions - Annual Renewal,qualification,142212.87,2025-08-07,renewal,Sarah Chen,2025-06-23T14:00:00
OPP-REN-061,ACC-061,NorthstarRevenue Labs 061 - Annual Renewal,negotiation,312600.21,2025-11-25,renewal,Priya Patel,2025-05-25T14:00:00
OPP-REN-062,ACC-062,BluePeakRevenue Labs 062 - Annual Renewal,proposal,70078.94,2026-01-05,renewal,Ana Rodriguez,2025-06-19T14:00:00
OPP-REN-063,ACC-063,ClearPathRevenue Labs 063 - Annual Renewal,proposal,185663.79,2025-09-01,renewal,Ana Rodriguez,2025-05-28T14:00:00
OPP-EXP-063,ACC-063,ClearPathRevenue Labs 063 - Usage Expansion,qualification,93043.81,2025-11-12,expansion,Ana Rodriguez,2025-06-20T14:00:00
OPP-REN-064,ACC-064,EvergreenRevenue Labs 064 - Annual Renewal,qualification,18178.88,2025-10-01,renewal,Marcus Johnson,2025-05-01T14:00:00
OPP-REN-065,ACC-065,SilverlineRevenue Labs 065 - Annual Renewal,proposal,33242.17,2025-12-23,renewal,Priya Patel,2025-05-22T14:00:00
OPP-REN-066,ACC-066,KeystoneRevenue Labs 066 - Annual Renewal,qualification,351440.14,2025-10-05,renewal,Priya Patel,2025-05-05T14:00:00
OPP-EXP-066,ACC-066,KeystoneRevenue Labs 066 - Usage Expansion,proposal,277760.55,2025-12-04,expansion,Priya Patel,2025-06-17T14:00:00
OPP-REN-067,ACC-067,SummitRevenue Labs 067 - Annual Renewal,qualification,634079.52,2025-12-15,renewal,Sarah Chen,2025-05-09T14:00:00
OPP-EXP-067,ACC-067,SummitRevenue Labs 067 - Usage Expansion,prospecting,490868.19,2025-08-25,expansion,Sarah Chen,2025-06-20T14:00:00
OPP-REN-068,ACC-068,RiverbendRevenue Labs 068 - Annual Renewal,proposal,91249.08,2025-10-07,renewal,Sarah Chen,2025-05-03T14:00:00
OPP-REN-069,ACC-069,IroncladRevenue Labs 069 - Annual Renewal,negotiation,669898.98,2025-08-13,renewal,Marcus Johnson,2025-04-27T14:00:00
OPP-EXP-069,ACC-069,IroncladRevenue Labs 069 - Usage Expansion,proposal,410501.64,2025-10-26,expansion,Marcus Johnson,2025-07-05T14:00:00
OPP-REN-070,ACC-070,BrightForgeRevenue Labs 070 - Annual Renewal,qualification,141841.42,2025-08-14,renewal,Sarah Chen,2025-04-25T14:00:00
OPP-REN-071,ACC-071,CoreSignalRevenue Labs 071 - Annual Renewal,qualification,26550.07,2025-12-02,renewal,Ana Rodriguez,2025-06-14T14:00:00
OPP-EXP-071,ACC-071,CoreSignalRevenue Labs 071 - Usage Expansion,closed_lost,21393.69,2025-11-12,expansion,Ana Rodriguez,2025-05-26T14:00:00
OPP-REN-072,ACC-072,TrueNorthRevenue Labs 072 - Annual Renewal,negotiation,49445.54,2025-10-07,renewal,Priya Patel,2025-05-11T14:00:00
OPP-REN-073,ACC-073,NorthstarWorkflow Labs 073 - Annual Renewal,negotiation,304764.87,2025-11-10,renewal,Sarah Chen,2025-05-06T14:00:00
OPP-REN-074,ACC-074,BluePeakWorkflow Labs 074 - Annual Renewal,proposal,197698.86,2026-01-04,renewal,Ana Rodriguez,2025-05-16T14:00:00
OPP-REN-075,ACC-075,ClearPathWorkflow Labs 075 - Annual Renewal,qualification,215764.67,2025-11-15,renewal,Marcus Johnson,2025-04-16T14:00:00
OPP-EXP-075,ACC-075,ClearPathWorkflow Labs 075 - Usage Expansion,prospecting,167649.09,2025-07-30,expansion,Marcus Johnson,2025-06-26T14:00:00
OPP-REN-076,ACC-076,EvergreenWorkflow Labs 076 - Annual Renewal,negotiation,642243.65,2025-12-26,renewal,James Wilson,2025-06-25T14:00:00
OPP-REN-077,ACC-077,SilverlineWorkflow Labs 077 - Annual Renewal,qualification,166827.52,2025-10-21,renewal,James Wilson,2025-05-05T14:00:00
OPP-EXP-077,ACC-077,SilverlineWorkflow Labs 077 - Usage Expansion,qualification,107279.27,2025-11-02,expansion,James Wilson,2025-05-27T14:00:00
OPP-REN-078,ACC-078,KeystoneWorkflow Labs 078 - Annual Renewal,negotiation,588293.3,2025-10-02,renewal,James Wilson,2025-06-09T14:00:00
OPP-EXP-078,ACC-078,KeystoneWorkflow Labs 078 - Usage Expansion,proposal,336380.6,2025-08-12,expansion,James Wilson,2025-06-01T14:00:00
OPP-REN-079,ACC-079,SummitWorkflow Labs 079 - Annual Renewal,negotiation,37624.98,2025-08-13,renewal,Sarah Chen,2025-06-05T14:00:00
OPP-REN-080,ACC-080,RiverbendWorkflow Labs 080 - Annual Renewal,qualification,195854.82,2025-07-29,renewal,Priya Patel,2025-05-05T14:00:00
OPP-REN-081,ACC-081,IroncladWorkflow Labs 081 - Annual Renewal,proposal,162954.23,2025-09-13,renewal,Ana Rodriguez,2025-05-13T14:00:00
OPP-REN-082,ACC-082,BrightForgeWorkflow Labs 082 - Annual Renewal,qualification,665200.31,2025-08-25,renewal,Marcus Johnson,2025-05-10T14:00:00
OPP-EXP-082,ACC-082,BrightForgeWorkflow Labs 082 - Usage Expansion,qualification,420373.29,2025-11-05,expansion,Marcus Johnson,2025-06-21T14:00:00
OPP-REN-083,ACC-083,CoreSignalWorkflow Labs 083 - Annual Renewal,qualification,478285.63,2025-10-21,renewal,Priya Patel,2025-06-22T14:00:00
OPP-REN-084,ACC-084,TrueNorthWorkflow Labs 084 - Annual Renewal,proposal,133033.3,2025-10-26,renewal,James Wilson,2025-05-29T14:00:00
OPP-EXP-084,ACC-084,TrueNorthWorkflow Labs 084 - Usage Expansion,qualification,86857.81,2025-11-27,expansion,James Wilson,2025-06-15T14:00:00
OPP-REN-085,ACC-085,NorthstarAutomation Labs 085 - Annual Renewal,negotiation,534392.64,2025-12-28,renewal,Sarah Chen,2025-06-05T14:00:00
OPP-EXP-085,ACC-085,NorthstarAutomation Labs 085 - Usage Expansion,closed_lost,149582.3,2025-08-06,expansion,Sarah Chen,2025-06-12T14:00:00
OPP-REN-086,ACC-086,BluePeakAutomation Labs 086 - Annual Renewal,negotiation,170058.54,2025-09-13,renewal,Marcus Johnson,2025-04-14T14:00:00
OPP-REN-087,ACC-087,ClearPathAutomation Labs 087 - Annual Renewal,qualification,512118.84,2025-12-31,renewal,Priya Patel,2025-05-31T14:00:00
OPP-REN-088,ACC-088,EvergreenAutomation Labs 088 - Annual Renewal,negotiation,64183.31,2025-12-03,renewal,Priya Patel,2025-04-20T14:00:00
OPP-REN-089,ACC-089,SilverlineAutomation Labs 089 - Annual Renewal,qualification,100060.56,2025-09-23,renewal,Priya Patel,2025-05-18T14:00:00
OPP-EXP-089,ACC-089,SilverlineAutomation Labs 089 - Usage Expansion,qualification,62703.1,2025-10-31,expansion,Priya Patel,2025-06-03T14:00:00
OPP-REN-090,ACC-090,KeystoneAutomation Labs 090 - Annual Renewal,proposal,512464.72,2025-09-05,renewal,James Wilson,2025-05-19T14:00:00
OPP-REN-091,ACC-091,SummitAutomation Labs 091 - Annual Renewal,proposal,114281.38,2025-11-03,renewal,Sarah Chen,2025-06-13T14:00:00
OPP-REN-092,ACC-092,RiverbendAutomation Labs 092 - Annual Renewal,proposal,572879.41,2025-10-28,renewal,Ana Rodriguez,2025-06-06T14:00:00
OPP-EXP-092,ACC-092,RiverbendAutomation Labs 092 - Usage Expansion,closed_lost,372355.11,2025-10-12,expansion,Ana Rodriguez,2025-06-14T14:00:00
OPP-REN-093,ACC-093,IroncladAutomation Labs 093 - Annual Renewal,negotiation,162261.65,2025-08-27,renewal,Ana Rodriguez,2025-05-21T14:00:00
OPP-REN-094,ACC-094,BrightForgeAutomation Labs 094 - Annual Renewal,qualification,183692.41,2025-09-08,renewal,Marcus Johnson,2025-06-04T14:00:00
OPP-EXP-094,ACC-094,BrightForgeAutomation Labs 094 - Usage Expansion,closed_lost,58453.68,2025-12-03,expansion,Marcus Johnson,2025-06-02T14:00:00
OPP-REN-095,ACC-095,CoreSignalAutomation Labs 095 - Annual Renewal,proposal,154663.47,2025-10-27,renewal,Priya Patel,2025-06-20T14:00:00
OPP-EXP-095,ACC-095,CoreSignalAutomation Labs 095 - Usage Expansion,prospecting,52037.82,2025-10-09,expansion,Priya Patel,2025-07-01T14:00:00
OPP-REN-096,ACC-096,TrueNorthAutomation Labs 096 - Annual Renewal,qualification,15985.53,2025-11-26,renewal,Marcus Johnson,2025-04-17T14:00:00
OPP-REN-097,ACC-097,NorthstarSecurity Labs 097 - Annual Renewal,negotiation,302421.27,2025-08-07,renewal,James Wilson,2025-04-14T14:00:00
OPP-REN-098,ACC-098,BluePeakSecurity Labs 098 - Annual Renewal,proposal,387220.51,2025-09-08,renewal,Ana Rodriguez,2025-05-03T14:00:00
OPP-REN-099,ACC-099,ClearPathSecurity Labs 099 - Annual Renewal,negotiation,129999.14,2025-09-20,renewal,Marcus Johnson,2025-05-05T14:00:00
OPP-REN-100,ACC-100,EvergreenSecurity Labs 100 - Annual Renewal,proposal,200893.45,2025-11-08,renewal,Sarah Chen,2025-06-15T14:00:00
OPP-EXP-100,ACC-100,EvergreenSecurity Labs 100 - Usage Expansion,proposal,124738.47,2025-08-15,expansion,Sarah Chen,2025-06-23T14:00:00
OPP-REN-101,ACC-101,SilverlineSecurity Labs 101 - Annual Renewal,qualification,658983.02,2025-10-19,renewal,Ana Rodriguez,2025-06-11T14:00:00
OPP-EXP-101,ACC-101,SilverlineSecurity Labs 101 - Usage Expansion,closed_lost,382092.12,2025-11-10,expansion,Ana Rodriguez,2025-05-31T14:00:00
OPP-REN-102,ACC-102,KeystoneSecurity Labs 102 - Annual Renewal,qualification,205309.66,2025-10-31,renewal,Sarah Chen,2025-04-11T14:00:00
OPP-REN-103,ACC-103,SummitSecurity Labs 103 - Annual Renewal,negotiation,30697.64,2025-08-18,renewal,James Wilson,2025-06-07T14:00:00
OPP-REN-104,ACC-104,RiverbendSecurity Labs 104 - Annual Renewal,qualification,131850.51,2025-08-22,renewal,Ana Rodriguez,2025-05-22T14:00:00
OPP-REN-105,ACC-105,IroncladSecurity Labs 105 - Annual Renewal,proposal,126492.05,2025-12-01,renewal,Priya Patel,2025-06-13T14:00:00
OPP-EXP-105,ACC-105,IroncladSecurity Labs 105 - Usage Expansion,closed_lost,67398.3,2025-12-03,expansion,Priya Patel,2025-06-08T14:00:00
OPP-REN-106,ACC-106,BrightForgeSecurity Labs 106 - Annual Renewal,negotiation,568837.42,2025-11-30,renewal,James Wilson,2025-05-19T14:00:00
OPP-REN-108,ACC-108,TrueNorthSecurity Labs 108 - Annual Renewal,proposal,138147.1,2025-08-31,renewal,Marcus Johnson,2025-06-14T14:00:00
OPP-REN-109,ACC-109,NorthstarCommerce Labs 109 - Annual Renewal,qualification,69199.34,2026-01-05,renewal,Marcus Johnson,2025-04-13T14:00:00
OPP-REN-110,ACC-110,BluePeakCommerce Labs 110 - Annual Renewal,negotiation,138584.78,2025-08-20,renewal,James Wilson,2025-06-02T14:00:00
OPP-REN-111,ACC-111,ClearPathCommerce Labs 111 - Annual Renewal,qualification,21242.21,2026-01-06,renewal,Ana Rodriguez,2025-04-20T14:00:00
OPP-EXP-111,ACC-111,ClearPathCommerce Labs 111 - Usage Expansion,qualification,4860.78,2025-10-17,expansion,Ana Rodriguez,2025-06-11T14:00:00
OPP-REN-112,ACC-112,EvergreenCommerce Labs 112 - Annual Renewal,negotiation,355879.4,2025-12-12,renewal,James Wilson,2025-06-01T14:00:00
OPP-EXP-112,ACC-112,EvergreenCommerce Labs 112 - Usage Expansion,prospecting,108597.14,2025-09-12,expansion,James Wilson,2025-07-02T14:00:00
OPP-REN-113,ACC-113,SilverlineCommerce Labs 113 - Annual Renewal,proposal,139211.55,2025-11-29,renewal,Ana Rodriguez,2025-06-29T14:00:00
OPP-REN-114,ACC-114,KeystoneCommerce Labs 114 - Annual Renewal,qualification,397917.99,2025-11-27,renewal,Sarah Chen,2025-05-14T14:00:00
OPP-REN-115,ACC-115,SummitCommerce Labs 115 - Annual Renewal,qualification,35136.84,2025-09-09,renewal,James Wilson,2025-05-24T14:00:00
OPP-REN-116,ACC-116,RiverbendCommerce Labs 116 - Annual Renewal,negotiation,203433.34,2025-11-01,renewal,Ana Rodriguez,2025-05-15T14:00:00
OPP-EXP-116,ACC-116,RiverbendCommerce Labs 116 - Usage Expansion,closed_lost,163658.47,2025-08-04,expansion,Ana Rodriguez,2025-06-18T14:00:00
OPP-REN-117,ACC-117,IroncladCommerce Labs 117 - Annual Renewal,proposal,501374.82,2025-09-20,renewal,Marcus Johnson,2025-06-01T14:00:00
OPP-REN-118,ACC-118,BrightForgeCommerce Labs 118 - Annual Renewal,negotiation,369551.93,2025-08-30,renewal,Marcus Johnson,2025-06-11T14:00:00
OPP-REN-119,ACC-119,CoreSignalCommerce Labs 119 - Annual Renewal,qualification,198575.92,2025-11-16,renewal,Priya Patel,2025-06-14T14:00:00
OPP-REN-120,ACC-120,TrueNorthCommerce Labs 120 - Annual Renewal,negotiation,23990.43,2025-10-12,renewal,Priya Patel,2025-06-20T14:00:00
OPP-EXP-120,ACC-120,TrueNorthCommerce Labs 120 - Usage Expansion,qualification,5694.31,2025-09-10,expansion,Priya Patel,2025-06-28T14:00:00
OPP-REN-121,ACC-121,NorthstarHealth Labs 121 - Annual Renewal,qualification,658642.8,2025-11-07,renewal,Sarah Chen,2025-06-09T14:00:00
OPP-EXP-121,ACC-121,NorthstarHealth Labs 121 - Usage Expansion,closed_lost,370831.43,2025-08-25,expansion,Sarah Chen,2025-06-14T14:00:00
OPP-REN-122,ACC-122,BluePeakHealth Labs 122 - Annual Renewal,proposal,190190.01,2025-12-15,renewal,Marcus Johnson,2025-05-20T14:00:00
OPP-EXP-122,ACC-122,BluePeakHealth Labs 122 - Usage Expansion,prospecting,51104.68,2025-08-27,expansion,Marcus Johnson,2025-06-25T14:00:00
OPP-REN-123,ACC-123,ClearPathHealth Labs 123 - Annual Renewal,proposal,62361.32,2025-10-10,renewal,Marcus Johnson,2025-04-16T14:00:00
OPP-REN-124,ACC-124,EvergreenHealth Labs 124 - Annual Renewal,qualification,364447.59,2025-11-24,renewal,Ana Rodriguez,2025-04-17T14:00:00
OPP-REN-125,ACC-125,SilverlineHealth Labs 125 - Annual Renewal,negotiation,180446.96,2025-08-22,renewal,Marcus Johnson,2025-05-28T14:00:00
OPP-EXP-125,ACC-125,SilverlineHealth Labs 125 - Usage Expansion,qualification,92204.88,2025-12-02,expansion,Marcus Johnson,2025-06-08T14:00:00
OPP-REN-126,ACC-126,KeystoneHealth Labs 126 - Annual Renewal,proposal,207341.92,2025-09-14,renewal,Ana Rodriguez,2025-06-25T14:00:00
OPP-REN-127,ACC-127,SummitHealth Labs 127 - Annual Renewal,proposal,14743.21,2025-11-11,renewal,Sarah Chen,2025-06-17T14:00:00
OPP-REN-128,ACC-128,RiverbendHealth Labs 128 - Annual Renewal,negotiation,63547.8,2025-10-24,renewal,Ana Rodriguez,2025-06-30T14:00:00
OPP-REN-129,ACC-129,IroncladHealth Labs 129 - Annual Renewal,proposal,159750.8,2025-11-27,renewal,Sarah Chen,2025-04-17T14:00:00
OPP-REN-130,ACC-130,BrightForgeHealth Labs 130 - Annual Renewal,negotiation,193224.46,2025-07-25,renewal,James Wilson,2025-06-24T14:00:00
OPP-EXP-130,ACC-130,BrightForgeHealth Labs 130 - Usage Expansion,closed_lost,66766.86,2025-08-28,expansion,James Wilson,2025-05-29T14:00:00
OPP-REN-131,ACC-131,CoreSignalHealth Labs 131 - Annual Renewal,qualification,29609.89,2025-11-03,renewal,Marcus Johnson,2025-06-29T14:00:00
OPP-REN-132,ACC-132,TrueNorthHealth Labs 132 - Annual Renewal,qualification,213854.32,2025-10-29,renewal,Priya Patel,2025-06-30T14:00:00
OPP-REN-133,ACC-133,NorthstarLogistics Labs 133 - Annual Renewal,proposal,34337.81,2025-09-15,renewal,James Wilson,2025-05-21T14:00:00
OPP-EXP-133,ACC-133,NorthstarLogistics Labs 133 - Usage Expansion,proposal,25200.43,2025-11-22,expansion,James Wilson,2025-06-29T14:00:00
OPP-REN-134,ACC-134,BluePeakLogistics Labs 134 - Annual Renewal,qualification,85698.14,2025-10-02,renewal,Sarah Chen,2025-05-04T14:00:00
OPP-REN-135,ACC-135,ClearPathLogistics Labs 135 - Annual Renewal,qualification,412354.23,2025-10-02,renewal,Ana Rodriguez,2025-05-07T14:00:00
OPP-REN-136,ACC-136,EvergreenLogistics Labs 136 - Annual Renewal,qualification,605476.42,2025-12-19,renewal,Marcus Johnson,2025-05-13T14:00:00
