invoice_id,account_id,billing_period_start,billing_period_end,base_amount,usage_amount,total_amount,status,issued_at
INV-047-202507,ACC-047,2025-06-10,2025-07-10,53469.4,0,53469.4,paid,2025-07-03T14:00:00
INV-048-202507,ACC-048,2025-06-10,2025-07-10,18322.69,0,18322.69,paid,2025-07-05T14:00:00
INV-049-202507,ACC-049,2025-06-10,2025-07-10,1137.88,0,1137.88,pending,2025-07-04T14:00:00
INV-050-202507,ACC-050,2025-06-10,2025-07-10,1133.14,0,1133.14,paid,2025-07-07T14:00:00
INV-051-202507,ACC-051,2025-06-10,2025-07-10,1474.87,0,1474.87,pending,2025-07-04T14:00:00
INV-052-202507,ACC-052,2025-06-10,2025-07-10,17436.8,0,17436.8,paid,2025-07-08T14:00:00
INV-053-202507,ACC-053,2025-06-10,2025-07-10,4243.78,0,4243.78,pending,2025-07-04T14:00:00
INV-055-202507,ACC-055,2025-06-10,2025-07-10,13515.65,0,13515.65,past_due,2025-07-07T14:00:00
INV-056-202507,ACC-056,2025-06-10,2025-07-10,2280.75,54.43,2335.18,paid,2025-07-04T14:00:00
INV-057-202507,ACC-057,2025-06-10,2025-07-10,11884.2,0,11884.2,paid,2025-07-08T14:00:00
INV-058-202507,ACC-058,2025-06-10,2025-07-10,1556.85,0,1556.85,paid,2025-07-04T14:00:00
INV-059-202507,ACC-059,2025-06-10,2025-07-10,10282.16,0,10282.16,paid,2025-07-03T14:00:00
INV-060-202507,ACC-060,2025-06-10,2025-07-10,11851.07,0,11851.07,paid,2025-07-07T14:00:00
INV-061-202507,ACC-061,2025-06-10,2025-07-10,26050.02,0,26050.02,paid,2025-07-05T14:00:00
INV-062-202507,ACC-062,2025-06-10,2025-07-10,5839.91,0,5839.91,paid,2025-07-06T14:00:00
INV-063-202507,ACC-063,2025-06-10,2025-07-10,15471.98,1446.82,16918.8,paid,2025-07-06T14:00:00
INV-064-202507,ACC-064,2025-06-10,2025-07-10,1514.91,0,1514.91,paid,2025-07-09T14:00:00
INV-065-202507,ACC-065,2025-06-10,2025-07-10,2770.18,0,2770.18,paid,2025-07-06T14:00:00
INV-066-202507,ACC-066,2025-06-10,2025-07-10,29286.68,0,29286.68,failed,2025-07-03T14:00:00
INV-067-202507,ACC-067,2025-06-10,2025-07-10,52839.96,165.64,53005.6,paid,2025-07-06T14:00:00
INV-068-202507,ACC-068,2025-06-10,2025-07-10,7604.09,70.4,7674.49,paid,2025-07-04T14:00:00
INV-069-202507,ACC-069,2025-06-10,2025-07-10,55824.92,0,55824.92,paid,2025-07-09T14:00:00
INV-070-202507,ACC-070,2025-06-10,2025-07-10,11820.12,0,11820.12,paid,2025-07-03T14:00:00
INV-071-202507,ACC-071,2025-06-10,2025-07-10,2212.51,0,2212.51,pending,2025-07-06T14:00:00
INV-072-202507,ACC-072,2025-06-10,2025-07-10,4120.46,0,4120.46,paid,2025-07-07T14:00:00
INV-073-202507,ACC-073,2025-06-10,2025-07-10,25397.07,0,25397.07,paid,2025-07-06T14:00:00
INV-074-202507,ACC-074,2025-06-10,2025-07-10,16474.9,0,16474.9,past_due,2025-07-03T14:00:00
INV-075-202507,ACC-075,2025-06-10,2025-07-10,17980.39,1290.53,19270.92,pending,2025-07-04T14:00:00
INV-076-202507,ACC-076,2025-06-10,2025-07-10,53520.3,0,53520.3,pending,2025-07-05T14:00:00
INV-077-202507,ACC-077,2025-06-10,2025-07-10,13902.29,0,13902.29,paid,2025-07-07T14:00:00
INV-078-202507,ACC-078,2025-06-10,2025-07-10,49024.44,69.8,49094.24,pending,2025-07-07T14:00:00
INV-079-202507,ACC-079,2025-06-10,2025-07-10,3135.42,0,3135.42,paid,2025-07-09T14:00:00
INV-080-202507,ACC-080,2025-06-10,2025-07-10,16321.24,0,16321.24,paid,2025-07-08T14:00:00
INV-081-202507,ACC-081,2025-06-10,2025-07-10,13579.52,0,13579.52,paid,2025-07-05T14:00:00
INV-082-202507,ACC-082,2025-06-10,2025-07-10,55433.36,0,55433.36,paid,2025-07-09T14:00:00
INV-083-202507,ACC-083,2025-06-10,2025-07-10,39857.14,0,39857.14,paid,2025-07-07T14:00:00
INV-084-202507,ACC-084,2025-06-10,2025-07-10,11086.11,0,11086.11,paid,2025-07-07T14:00:00
INV-085-202507,ACC-085,2025-06-10,2025-07-10,44532.72,0,44532.72,paid,2025-07-07T14:00:00
INV-086-202507,ACC-086,2025-06-10,2025-07-10,14171.55,0,14171.55,pending,2025-07-09T14:00:00
INV-087-202507,ACC-087,2025-06-10,2025-07-10,42676.57,0,42676.57,paid,2025-07-04T14:00:00
INV-088-202507,ACC-088,2025-06-10,2025-07-10,5348.61,0,5348.61,paid,2025-07-04T14:00:00
INV-089-202507,ACC-089,2025-06-10,2025-07-10,8338.38,88.84,8427.22,past_due,2025-07-06T14:00:00
INV-090-202507,ACC-090,2025-06-10,2025-07-10,42705.39,0,42705.39,pending,2025-07-07T14:00:00
INV-091-202507,ACC-091,2025-06-10,2025-07-10,9523.45,0,9523.45,paid,2025-07-03T14:00:00
INV-092-202507,ACC-092,2025-06-10,2025-07-10,47739.95,0,47739.95,pending,2025-07-03T14:00:00
INV-093-202507,ACC-093,2025-06-10,2025-07-10,13521.8,0,13521.8,paid,2025-07-04T14:00:00
INV-094-202507,ACC-094,2025-06-10,2025-07-10,15307.7,2607.99,17915.69,paid,2025-07-04T14:00:00
INV-095-202507,ACC-095,2025-06-10,2025-07-10,12888.62,0,12888.62,pending,2025-07-05T14:00:00
INV-096-202507,ACC-096,2025-06-10,2025-07-10,1332.13,0,1332.13,paid,2025-07-04T14:00:00
INV-097-202507,ACC-097,2025-06-10,2025-07-10,25201.77,0,25201.77,pending,2025-07-03T14:00:00
INV-098-202507,ACC-098,2025-06-10,2025-07-10,32268.38,0,32268.38,past_due,2025-07-09T14:00:00
INV-099-202507,ACC-099,2025-06-10,2025-07-10,10833.26,0,10833.26,paid,2025-07-04T14:00:00
INV-100-202507,ACC-100,2025-06-10,2025-07-10,16741.12,122.58,16863.7,paid,2025-07-09T14:00:00
INV-101-202507,ACC-101,2025-06-10,2025-07-10,54915.25,0,54915.25,pending,2025-07-09T14:00:00
INV-102-202507,ACC-102,2025-06-10,2025-07-10,17109.14,0,17109.14,paid,2025-07-03T14:00:00
INV-103-202507,ACC-103,2025-06-10,2025-07-10,2558.14,0,2558.14,paid,2025-07-05T14:00:00
INV-104-202507,ACC-104,2025-06-10,2025-07-10,10987.54,0,10987.54,past_due,2025-07-05T14:00:00
INV-105-202507,ACC-105,2025-06-10,2025-07-10,10541.0,0,10541.0,paid,2025-07-05T14:00:00
INV-106-202507,ACC-106,2025-06-10,2025-07-10,47403.12,0,47403.12,paid,2025-07-07T14:00:00
INV-108-202507,ACC-108,2025-06-10,2025-07-10,11512.26,0,11512.26,pending,2025-07-09T14:00:00
INV-109-202507,ACC-109,2025-06-10,2025-07-10,5766.61,0,5766.61,paid,2025-07-08T14:00:00
INV-110-202507,ACC-110,2025-06-10,2025-07-10,11548.73,0,11548.73,paid,2025-07-04T14:00:00
INV-111-202507,ACC-111,2025-06-10,2025-07-10,1770.18,68.96,1839.14,paid,2025-07-06T14:00:00
INV-112-202507,ACC-112,2025-06-10,2025-07-10,29656.62,989.38,30646.0,paid,2025-07-05T14:00:00
INV-113-202507,ACC-113,2025-06-10,2025-07-10,11600.96,0,11600.96,paid,2025-07-05T14:00:00
INV-114-202507,ACC-114,2025-06-10,2025-07-10,33159.83,0,33159.83,pending,2025-07-07T14:00:00
INV-115-202507,ACC-115,2025-06-10,2025-07-10,2928.07,0,2928.07,past_due,2025-07-05T14:00:00
INV-116-202507,ACC-116,2025-06-10,2025-07-10,16952.78,0,16952.78,pending,2025-07-09T14:00:00
INV-117-202507,ACC-117,2025-06-10,2025-07-10,41781.24,0.02,41781.26,pending,2025-07-09T14:00:00
INV-118-202507,ACC-118,2025-06-10,2025-07-10,30795.99,0,30795.99,paid,2025-07-07T14:00:00
INV-119-202507,ACC-119,2025-06-10,2025-07-10,16547.99,0,16547.99,past_due,2025-07-05T14:00:00
INV-120-202507,ACC-120,2025-06-10,2025-07-10,1999.2,0,1999.2,pending,2025-07-09T14:00:00
INV-121-202507,ACC-121,2025-06-10,2025-07-10,54886.9,0,54886.9,paid,2025-07-07T14:00:00
INV-122-202507,ACC-122,2025-06-10,2025-07-10,15849.17,449.24,16298.41,paid,2025-07-06T14:00:00
INV-123-202507,ACC-123,2025-06-10,2025-07-10,5196.78,0,5196.78,paid,2025-07-04T14:00:00
INV-124-202507,ACC-124,2025-06-10,2025-07-10,30370.63,0,30370.63,paid,2025-07-06T14:00:00
INV-125-202507,ACC-125,2025-06-10,2025-07-10,15037.25,1540.66,16577.91,paid,2025-07-03T14:00:00
INV-126-202507,ACC-126,2025-06-10,2025-07-10,17278.49,0,17278.49,pending,2025-07-03T14:00:00
INV-127-202507,ACC-127,2025-06-10,2025-07-10,1228.6,0,1228.6,pending,2025-07-08T14:00:00
INV-128-202507,ACC-128,2025-06-10,2025-07-10,5295.65,0,5295.65,paid,2025-07-09T14:00:00
INV-129-202507,ACC-129,2025-06-10,2025-07-10,13312.57,0,13312.57,paid,2025-07-09T14:00:00
INV-130-202507,ACC-130,2025-06-10,2025-07-10,16102.04,0,16102.04,paid,2025-07-03T14:00:00
INV-131-202507,ACC-131,2025-06-10,2025-07-10,2467.49,0,2467.49,paid,2025-07-06T14:00:00
INV-132-202507,ACC-132,2025-06-10,2025-07-10,17821.19,0,17821.19,paid,2025-07-05T14:00:00
INV-133-202507,ACC-133,2025-06-10,2025-07-10,2861.48,39.21,2900.69,paid,2025-07-07T14:00:00
INV-134-202507,ACC-134,2025-06-10,2025-07-10,7141.51,0,7141.51,paid,2025-07-08T14:00:00
INV-135-202507,ACC-135,2025-06-10,2025-07-10,34362.85,106.05,34468.9,paid,2025-07-06T14:00:00
INV-136-202507,ACC-136,2025-06-10,2025-07-10,50456.37,0,50456.37,paid,2025-07-03T14:00:00
INV-137-202507,ACC-137,2025-06-10,2025-07-10,7332.23,0,7332.23,paid,2025-07-04T14:00:00
INV-138-202507,ACC-138,2025-06-10,2025-07-10,2241.41,0,2241.41,paid,2025-07-06T14:00:00
INV-139-202507,ACC-139,2025-06-10,2025-07-10,11735.11,0,11735.11,paid,2025-07-06T14:00:00
INV-140-202507,ACC-140,2025-06-10,2025-07-10,10147.92,0,10147.92,paid,2025-07-04T14:00:00
INV-141-202507,ACC-141,2025-06-10,2025-07-10,43824.46,0,43824.46,pending,2025-07-05T14:00:00
INV-142-202507,ACC-142,2025-06-10,2025-07-10,11375.34,0,11375.34,paid,2025-07-08T14:00:00
INV-143-202507,ACC-143,2025-06-10,2025-07-10,10230.56,0,10230.56,paid,2025-07-07T14:00:00
INV-144-202507,ACC-144,2025-06-10,2025-07-10,23024.35,0,23024.35,paid,2025-07-05T14:00:00
INV-145-202507,ACC-145,2025-06-10,2025-07-10,6341.19,0,6341.19,paid,2025-07-03T14:00:00
INV-146-202507,ACC-146,2025-06-10,2025-07-10,14776.42,0,14776.42,paid,2025-07-08T14:00:00
INV-147-202507,ACC-147,2025-06-10,2025-07-10,1506.03,0,1506.03,pending,2025-07-06T14:00:00
INV-148-202507,ACC-148,2025-06-10,2025-07-10,5377.65,0,5377.65,paid,2025-07-09T14:00:00
INV-149-202507,ACC-149,2025-06-10,2025-07-10,54337.07,664.04,55001.11,paid,2025-07-08T14:00:00
INV-150-202507,ACC-150,2025-06-10,2025-07-10,10462.72,0,10462.72,paid,2025-07-08T14:00:00
INV-151-202507,ACC-151,2025-06-10,2025-07-10,1382.02,0,1382.02,paid,2025-07-06T14:00:00
INV-152-202507,ACC-152,2025-06-10,2025-07-10,12059.15,0,12059.15,paid,2025-07-07T14:00:00
INV-153-202507,ACC-153,2025-06-10,2025-07-10,3355.86,0,3355.86,paid,2025-07-06T14:00:00
INV-154-202507,ACC-154,2025-06-10,2025-07-10,12493.71,0,12493.71,paid,2025-07-06T14:00:00
INV-155-202507,ACC-155,2025-06-10,2025-07-10,10182.63,112.62,10295.25,paid,2025-07-07T14:00:00
INV-156-202507,ACC-156,2025-06-10,2025-07-10,8029.81,2457.04,10486.85,pending,2025-07-03T14:00:00
INV-157-202507,ACC-157,2025-06-10,2025-07-10,947.83,0,947.83,paid,2025-07-05T14:00:00
INV-158-202507,ACC-158,2025-06-10,2025-07-10,24994.38,0,24994.38,paid,2025-07-09T14:00:00
INV-159-202507,ACC-159,2025-06-10,2025-07-10,33770.99,0,33770.99,paid,2025-07-09T14:00:00
INV-161-202507,ACC-161,2025-06-10,2025-07-10,17204.68,0,17204.68,pending,2025-07-05T14:00:00
INV-162-202507,ACC-162,2025-06-10,2025-07-10,24367.06,0,24367.06,paid,2025-07-04T14:00:00
INV-163-202507,ACC-163,2025-06-10,2025-07-10,17484.92,0,17484.92,pending,2025-07-05T14:00:00
INV-164-202507,ACC-164,2025-06-10,2025-07-10,3276.71,0,3276.71,paid,2025-07-08T14:00:00
INV-165-202507,ACC-165,2025-06-10,2025-07-10,9470.54,0,9470.54,pending,2025-07-04T14:00:00
INV-166-202507,ACC-166,2025-06-10,2025-07-10,4693.22,41.99,4735.21,paid,2025-07-06T14:00:00
INV-167-202507,ACC-167,2025-06-10,2025-07-10,7213.79,0,7213.79,paid,2025-07-09T14:00:00
INV-168-202507,ACC-168,2025-06-10,2025-07-10,2296.4,0,2296.4,pending,2025-07-09T14:00:00
INV-169-202507,ACC-169,2025-06-10,2025-07-10,6098.66,0,6098.66,past_due,2025-07-09T14:00:00
INV-170-202507,ACC-170,2025-06-10,2025-07-10,39388.73,0,39388.73,failed,2025-07-05T14:00:00
INV-171-202507,ACC-171,2025-06-10,2025-07-10,8444.07,0,8444.07,paid,2025-07-03T14:00:00
INV-172-202507,ACC-172,2025-06-10,2025-07-10,10849.46,0,10849.46,pending,2025-07-04T14:00:00
INV-173-202507,ACC-173,2025-06-10,2025-07-10,8165.34,0,8165.34,past_due,2025-07-08T14:00:00
INV-174-202507,ACC-174,2025-06-10,2025-07-10,11133.18,0,11133.18,paid,2025-07-05T14:00:00
INV-175-202507,ACC-175,2025-06-10,2025-07-10,6282.47,0,6282.47,paid,2025-07-09T14:00:00
INV-176-202507,ACC-176,2025-06-10,2025-07-10,10056.94,0,10056.94,paid,2025-07-09T14:00:00
INV-177-202507,ACC-177,2025-06-10,2025-07-10,17260.48,30.67,17291.15,paid,2025-07-04T14:00:00
INV-178-202507,ACC-178,2025-06-10,2025-07-10,41250.93,0,41250.93,pending,2025-07-03T14:00:00
INV-179-202507,ACC-179,2025-06-10,2025-07-10,11691.73,0,11691.73,pending,2025-07-09T14:00:00
INV-180-202507,ACC-180,2025-06-10,2025-07-10,5242.41,0,5242.41,pending,2025-07-04T14:00:00
INV-181-202507,ACC-181,2025-06-10,2025-07-10,13963.61,0,13963.61,paid,2025-07-05T14:00:00
INV-182-202507,ACC-182,2025-06-10,2025-07-10,37969.38,0,37969.38,pending,2025-07-09T14:00:00
INV-183-202507,ACC-183,2025-06-10,2025-07-10,16543.34,0,16543.34,paid,2025-07-08T14:00:00
INV-184-202507,ACC-184,2025-06-10,2025-07-10,1842.34,0,1842.34,paid,2025-07-04T14:00:00
INV-185-202507,ACC-185,2025-06-10,2025-07-10,12206.24,0,12206.24,paid,2025-07-07T14:00:00
INV-186-202507,ACC-186,2025-06-10,2025-07-10,29380.16,866.19,30246.35,paid,2025-07-08T14:00:00
INV-187-202507,ACC-187,2025-06-10,2025-07-10,28407.39,2650.92,31058.31,paid,2025-07-08T14:00:00
INV-188-202507,ACC-188,2025-06-10,2025-07-10,16197.53,0,16197.53,paid,2025-07-04T14:00:00
INV-189-202507,ACC-189,2025-06-10,2025-07-10,2664.81,0,2664.81,pending,2025-07-06T14:00:00
INV-190-202507,ACC-190,2025-06-10,2025-07-10,1024.36,0,1024.36,paid,2025-07-09T14:00:00
INV-191-202507,ACC-191,2025-06-10,2025-07-10,10277.77,0,10277.77,pending,2025-07-05T14:00:00
INV-192-202507,ACC-192,2025-06-10,2025-07-10,878.68,0,878.68,paid,2025-07-08T14:00:00
INV-193-202507,ACC-193,2025-06-10,2025-07-10,4691.34,0,4691.34,paid,2025-07-06T14:00:00
INV-194-202507,ACC-194,2025-06-10,2025-07-10,2442.6,0,2442.6,past_due,2025-07-03T14:00:00
INV-195-202507,ACC-195,2025-06-10,2025-07-10,41298.38,0,41298.38,paid,2025-07-05T14:00:00
INV-196-202507,ACC-196,2025-06-10,2025-07-10,55764.07,0,55764.07,pending,2025-07-06T14:00:00
INV-197-202507,ACC-197,2025-06-10,2025-07-10,16900.79,0,16900.79,paid,2025-07-08T14:00:00
INV-198-202507,ACC-198,2025-06-10,2025-07-10,29935.97,0,29935.97,paid,2025-07-08T14:00:00
INV-199-202507,ACC-199,2025-06-10,2025-07-10,11894.6,116.38,12010.98,paid,2025-07-03T14:00:00
INV-200-202507,ACC-200,2025-06-10,2025-07-10,51284.98,0,51284.98,paid,2025-07-04T14:00:00
INV-201-202507,ACC-201,2025-06-10,2025-07-10,1072.17,0,1072.17,paid,2025-07-07T14:00:00
INV-202-202507,ACC-202,2025-06-10,2025-07-10,16833.81,94.37,16928.18,paid,2025-07-07T14:00:00
INV-203-202507,ACC-203,2025-06-10,2025-07-10,4595.62,0,4595.62,pending,2025-07-07T14:00:00
INV-204-202507,ACC-204,2025-06-10,2025-07-10,9793.92,0.01,9793.93,paid,2025-07-07T14:00:00
INV-205-202507,ACC-205,2025-06-10,2025-07-10,31028.88,0,31028.88,paid,2025-07-06T14:00:00
INV-206-202507,ACC-206,2025-06-10,2025-07-10,8824.56,0,8824.56,past_due,2025-07-06T14:00:00
INV-207-202507,ACC-207,2025-06-10,2025-07-10,2531.65,0,2531.65,paid,2025-07-06T14:00:00
INV-208-202507,ACC-208,2025-06-10,2025-07-10,17941.77,0,17941.77,pending,2025-07-08T14:00:00
INV-209-202507,ACC-209,2025-06-10,2025-07-10,1477.55,0,1477.55,paid,2025-07-05T14:00:00
INV-210-202507,ACC-210,2025-06-10,2025-07-10,2425.86,0,2425.86,past_due,2025-07-08T14:00:00
INV-211-202507,ACC-211,2025-06-10,2025-07-10,761.2,0,761.2,paid,2025-07-08T14:00:00
INV-212-202507,ACC-212,2025-06-10,2025-07-10,9663.3,0,9663.3,paid,2025-07-07T14:00:00
INV-214-202507,ACC-214,2025-06-10,2025-07-10,1394.75,0,1394.75,paid,2025-07-03T14:00:00
INV-215-202507,ACC-215,2025-06-10,2025-07-10,55120.55,0,55120.55,paid,2025-07-05T14:00:00
INV-216-202507,ACC-216,2025-06-10,2025-07-10,18035.81,0,18035.81,pending,2025-07-07T14:00:00
INV-217-202507,ACC-217,2025-06-10,2025-07-10,706.1,0,706.1,paid,2025-07-04T14:00:00
INV-218-202507,ACC-218,2025-06-10,2025-07-10,7388.73,949.55,8338.28,paid,2025-07-04T14:00:00
INV-219-202507,ACC-219,2025-06-10,2025-07-10,10493.57,0,10493.57,pending,2025-07-03T14:00:00
INV-220-202507,ACC-220,2025-06-10,2025-07-10,1293.87,0,1293.87,paid,2025-07-08T14:00:00
INV-221-202507,ACC-221,2025-06-10,2025-07-10,5573.36,101.31,5674.67,pending,2025-07-05T14:00:00
INV-222-202507,ACC-222,2025-06-10,2025-07-10,24783.34,0,24783.34,paid,2025-07-03T14:00:00
INV-223-202507,ACC-223,2025-06-10,2025-07-10,42936.93,1110.59,44047.52,past_due,2025-07-08T14:00:00
INV-224-202507,ACC-224,2025-06-10,2025-07-10,5792.09,0,5792.09,paid,2025-07-04T14:00:00
INV-225-202507,ACC-225,2025-06-10,2025-07-10,9553.72,0,9553.72,pending,2025-07-07T14:00:00
INV-226-202507,ACC-226,2025-06-10,2025-07-10,10076.85,0,10076.85,paid,2025-07-03T14:00:00
INV-227-202507,ACC-227,2025-06-10,2025-07-10,1707.45,0,1707.45,paid,2025-07-04T14:00:00
INV-228-202507,ACC-228,2025-06-10,2025-07-10,20089.99,0,20089.99,pending,2025-07-05T14:00:00
INV-229-202507,ACC-229,2025-06-10,2025-07-10,12985.81,0,12985.81,paid,2025-07-06T14:00:00
INV-230-202507,ACC-230,2025-06-10,2025-07-10,18167.51,0,18167.51,paid,2025-07-05T14:00:00
INV-231-202507,ACC-231,2025-06-10,2025-07-10,2236.92,0,2236.92,pending,2025-07-04T14:00:00
INV-232-202507,ACC-232,2025-06-10,2025-07-10,52522.13,60.19,52582.32,pending,2025-07-08T14:00:00
INV-233-202507,ACC-233,2025-06-10,2025-07-10,2197.28,0,2197.28,paid,2025-07-03T14:00:00
INV-234-202507,ACC-234,2025-06-10,2025-07-10,47916.03,0,47916.03,paid,2025-07-06T14:00:00
INV-235-202507,ACC-235,2025-06-10,2025-07-10,26056.98,0,26056.98,paid,2025-07-05T14:00:00
INV-236-202507,ACC-236,2025-06-10,2025-07-10,4442.78,0,4442.78,paid,2025-07-05T14:00:00
INV-237-202507,ACC-237,2025-06-10,2025-07-10,10204.75,0,10204.75,pending,2025-07-08T14:00:00
INV-238-202507,ACC-238,2025-06-10,2025-07-10,16979.82,0,16979.82,past_due,2025-07-05T14:00:00
INV-239-202507,ACC-239,2025-06-10,2025-07-10,3962.07,0,3962.07,pending,2025-07-06T14:00:00
INV-240-202507,ACC-240,2025-06-10,2025-07-10,10772.32,0,10772.32,paid,2025-07-06T14:00:00
INV-241-202507,ACC-241,2025-06-10,2025-07-10,5700.28,0,5700.28,paid,2025-07-09T14:00:00
INV-242-202507,ACC-242,2025-06-10,2025-07-10,11633.95,0,11633.95,paid,2025-07-09T14:00:00
INV-243-202507,ACC-243,2025-06-10,2025-07-10,10230.11,248.8,10478.91,paid,2025-07-06T14:00:00
INV-244-202507,ACC-244,2025-06-10,2025-07-10,990.84,0,990.84,paid,2025-07-07T14:00:00
INV-245-202507,ACC-245,2025-06-10,2025-07-10,15773.39,0,15773.39,past_due,2025-07-05T14:00:00
INV-246-202507,ACC-246,2025-06-10,2025-07-10,32781.83,0,32781.83,pending,2025-07-05T14:00:00
INV-247-202507,ACC-247,2025-06-10,2025-07-10,10534.97,0,10534.97,paid,2025-07-07T14:00:00
INV-248-202507,ACC-248,2025-06-10,2025-07-10,14544.74,0,14544.74,pending,2025-07-07T14:00:00
INV-249-202507,ACC-249,2025-06-10,2025-07-10,54859.36,3296.24,58155.6,paid,2025-07-05T14:00:00
INV-250-202507,ACC-250,2025-06-10,2025-07-10,29733.25,0,29733.25,paid,2025-07-03T14:00:00
INV-251-202507,ACC-251,2025-06-10,2025-07-10,8716.09,0,8716.09,paid,2025-07-08T14:00:00
