spend_id,campaign_name,channel,spend_amount,attributed_revenue,leads_generated,spend_date,source_system
f14a94b5-2cb,RevOps Field Dinner,events,338.29,932.13,61,2025-07-05,marketing_platform
7e83aee9-aff,Annual User Conference,events,8382.17,15246.21,61,2025-07-05,marketing_platform
968e77c3-01a,Developer Community Events,email,3202.99,9367.72,31,2025-07-05,marketing_platform
c42b56e7-47d,Partner Co-Marketing,content_marketing,685.93,1745.23,47,2025-07-05,marketing_platform
ee38b8a9-718,Google Ads - Brand,events,789.39,501.83,54,2025-07-05,marketing_platform
02516ac6-17e,Competitive Takeout,webinars,7076.87,9066.35,41,2025-07-05,marketing_platform
42a7c07f-308,Enterprise Webinar Series,linkedin,3105.72,2203.76,27,2025-07-05,marketing_platform
975bd1bb-a50,Finance Leader Roundtable,google_ads,8356.43,23509.71,17,2025-07-05,marketing_platform
3f6a506f-eb4,Usage Expansion Plays,google_ads,3956.14,1661.44,5,2025-07-04,marketing_platform
18b3ccb7-da0,Analyst Report Sponsorship,events,8011.35,19103.11,62,2025-07-04,marketing_platform
c0e3318e-989,Enterprise Webinar Series,content_marketing,6305.99,18969.47,3,2025-07-04,marketing_platform
1b6ceaf7-347,Google Ads - Brand,webinars,7988.23,19620.92,63,2025-07-04,marketing_platform
37403b6b-403,Cloud Analytics Content Hub,google_ads,6481.18,8277.67,64,2025-07-04,marketing_platform
3eac1d3f-d31,Customer Proof Campaign,google_ads,1042.45,3198.43,45,2025-07-04,marketing_platform
f17ba573-76e,Competitive Takeout,email,4353.43,11867.93,22,2025-07-03,marketing_platform
9cf40c6d-b8c,Email Nurture - Enterprise,google_ads,5361.93,7173.29,2,2025-07-03,marketing_platform
cf4ff303-d93,Developer Community Events,webinars,5469.2,3151.77,10,2025-07-03,marketing_platform
775b3cba-faa,Cloud Analytics Content Hub,google_ads,2005.65,1210.74,56,2025-07-03,marketing_platform
cf516ece-222,Google Ads - Brand,email,8114.7,4620.77,15,2025-07-03,marketing_platform
ee184eb8-1cf,Finance Leader Roundtable,content_marketing,9263.55,30254.98,4,2025-07-03,marketing_platform
0e235084-b5e,LinkedIn ABM Campaign,content_marketing,5671.89,13499.61,22,2025-07-03,marketing_platform
70082f58-135,Partner Co-Marketing,events,2845.5,7923.59,54,2025-07-03,marketing_platform
f57b15fd-7a2,RevOps Field Dinner,email,6023.89,16980.3,64,2025-07-03,marketing_platform
17de7e48-b14,Enterprise Webinar Series,linkedin,5434.19,3176.12,47,2025-07-03,marketing_platform
902d0252-5fb,Customer Proof Campaign,linkedin,9399.82,29695.14,12,2025-07-03,marketing_platform
b9c523fc-637,Annual User Conference,events,3613.28,11750.14,1,2025-07-03,marketing_platform
5f52a8a9-337,Cloud Analytics Content Hub,content_marketing,4737.96,6378.0,30,2025-07-02,marketing_platform
9507052f-f86,Usage Expansion Plays,email,9329.25,31239.56,53,2025-07-02,marketing_platform
b80e549b-2c1,Analyst Report Sponsorship,events,6933.19,10337.07,40,2025-07-02,marketing_platform
3d6073e8-c8d,LinkedIn ABM Campaign,webinars,401.48,839.85,62,2025-07-02,marketing_platform
3fa56c89-992,Competitive Takeout,email,6610.48,7447.24,10,2025-07-02,marketing_platform
1950b665-e74,Finance Leader Roundtable,google_ads,6589.86,4359.43,53,2025-07-02,marketing_platform
76acf315-d7d,Product-Led Growth Retargeting,email,4842.17,13977.33,55,2025-07-02,marketing_platform
118fcaa2-552,Annual User Conference,content_marketing,8146.69,16326.76,54,2025-07-02,marketing_platform
b0a12e81-eb3,Google Ads - Product,webinars,5724.54,13365.97,13,2025-07-02,marketing_platform
8976253c-1cc,Developer Community Events,linkedin,3344.93,7568.41,23,2025-07-02,marketing_platform
ca3d31c0-052,Enterprise Webinar Series,webinars,7737.51,19457.76,52,2025-07-02,marketing_platform
b1f350a0-91e,Partner Co-Marketing,content_marketing,9172.66,24427.29,34,2025-07-02,marketing_platform
db083851-7ea,Product-Led Growth Retargeting,content_marketing,6228.55,14004.86,62,2025-07-01,marketing_platform
743f9c3f-04b,Finance Leader Roundtable,events,742.43,1653.34,26,2025-07-01,marketing_platform
4bdc88fa-3f0,RevOps Field Dinner,events,7765.55,17148.63,57,2025-07-01,marketing_platform
2b55dd04-f3b,Developer Community Events,webinars,1054.35,423.84,11,2025-07-01,marketing_platform
33aa9c1c-7bd,Customer Proof Campaign,email,4095.1,4303.29,25,2025-07-01,marketing_platform
4ba77615-c0c,Annual User Conference,webinars,3509.92,2457.32,65,2025-07-01,marketing_platform
ef887c54-625,Competitive Takeout,linkedin,8094.92,13115.36,63,2025-07-01,marketing_platform
b2967f4e-090,Google Ads - Brand,events,8172.99,5414.71,1,2025-07-01,marketing_platform
e4ec1d18-4ee,LinkedIn ABM Campaign,google_ads,5390.28,16983.96,59,2025-07-01,marketing_platform
ac551c48-5ec,Analyst Report Sponsorship,linkedin,645.61,507.15,29,2025-07-01,marketing_platform
499f5662-db9,Email Nurture - Enterprise,webinars,3464.46,10856.36,45,2025-07-01,marketing_platform
a6d3fdec-0b1,Enterprise Webinar Series,events,8735.03,6418.71,33,2025-07-01,marketing_platform
42ce2346-161,LinkedIn ABM Campaign,content_marketing,4073.03,11931.94,69,2025-06-30,marketing_platform
ed086a8d-91f,Finance Leader Roundtable,events,8334.88,15417.78,50,2025-06-30,marketing_platform
00f929c0-c78,Enterprise Webinar Series,linkedin,3438.0,10903.44,31,2025-06-30,marketing_platform
90829c7c-135,Google Ads - Brand,email,3352.42,2602.65,37,2025-06-30,marketing_platform
f9a1b787-f0d,Partner Co-Marketing,events,1356.14,2473.6,67,2025-06-30,marketing_platform
fdd3b1c3-157,Analyst Report Sponsorship,content_marketing,4897.71,4059.75,55,2025-06-30,marketing_platform
8b08664b-982,Cloud Analytics Content Hub,events,7558.72,2671.09,15,2025-06-30,marketing_platform
4a3eab4a-134,Usage Expansion Plays,google_ads,2024.97,3545.92,55,2025-06-29,marketing_platform
38a21d6a-b7a,Analyst Report Sponsorship,events,1557.9,4443.17,61,2025-06-29,marketing_platform
573bcdec-2d8,Google Ads - Brand,linkedin,1729.31,5647.64,28,2025-06-29,marketing_platform
6e1188da-082,Email Nurture - Enterprise,email,8072.94,13520.24,23,2025-06-29,marketing_platform
339a0d50-54f,Finance Leader Roundtable,webinars,362.82,852.0,61,2025-06-29,marketing_platform
db3d5d38-2da,Cloud Analytics Content Hub,webinars,4806.09,8140.51,49,2025-06-29,marketing_platform
765c6781-6ad,Google Ads - Product,linkedin,6487.64,8672.5,17,2025-06-29,marketing_platform
2bbdb0a4-c5a,Competitive Takeout,email,5372.24,13538.34,6,2025-06-29,marketing_platform
6b657b0f-acd,Product-Led Growth Retargeting,events,5598.38,6282.47,14,2025-06-29,marketing_platform
8d9dddaa-090,Partner Co-Marketing,events,8599.13,25323.74,8,2025-06-29,marketing_platform
a8415bbe-9d9,Enterprise Webinar Series,webinars,2526.65,3614.69,22,2025-06-29,marketing_platform
2784447a-37f,Annual User Conference,events,3556.46,10717.86,1,2025-06-29,marketing_platform
6996f816-dc3,Analyst Report Sponsorship,email,2527.54,4045.75,53,2025-06-28,marketing_platform
3066a3a1-304,Customer Proof Campaign,content_marketing,5046.42,12602.48,45,2025-06-28,marketing_platform
2c4a81ad-6ac,Competitive Takeout,email,3877.2,12548.14,48,2025-06-28,marketing_platform
51bb9d96-ad1,Finance Leader Roundtable,webinars,4327.47,6732.44,42,2025-06-28,marketing_platform
a1cd6486-b4e,LinkedIn ABM Campaign,linkedin,7356.45,17997.67,32,2025-06-28,marketing_platform
647db93e-372,Developer Community Events,events,9273.71,16946.39,2,2025-06-28,marketing_platform
97752918-1d8,Cloud Analytics Content Hub,email,5866.88,12069.03,14,2025-06-28,marketing_platform
6794b8d7-8dd,Product-Led Growth Retargeting,email,2022.45,5105.37,67,2025-06-28,marketing_platform
943a581e-38a,Usage Expansion Plays,events,3386.82,4557.78,70,2025-06-28,marketing_platform
bfaede06-54f,Partner Co-Marketing,email,5005.83,8728.09,48,2025-06-28,marketing_platform
4270a618-310,Product-Led Growth Retargeting,webinars,566.13,1268.9,40,2025-06-27,marketing_platform
5cfe5315-14e,Enterprise Webinar Series,email,8810.17,28394.62,69,2025-06-27,marketing_platform
dabff5ec-ed2,Cloud Analytics Content Hub,email,4760.77,15289.24,26,2025-06-27,marketing_platform
12ddd4fb-742,Email Nurture - Enterprise,linkedin,1773.5,1880.17,46,2025-06-27,marketing_platform
31dc15ee-619,RevOps Field Dinner,google_ads,2625.94,2621.72,19,2025-06-27,marketing_platform
14b1816e-3a7,Google Ads - Brand,email,1215.22,2876.41,10,2025-06-27,marketing_platform
95e624d0-dd8,Developer Community Events,content_marketing,312.25,115.62,22,2025-06-27,marketing_platform
310ca507-f9c,Competitive Takeout,events,6341.09,17046.52,27,2025-06-27,marketing_platform
99f9158b-b39,Usage Expansion Plays,email,8971.78,16350.28,64,2025-06-27,marketing_platform
af2a3531-3b6,Customer Proof Campaign,events,1858.15,4501.0,22,2025-06-27,marketing_platform
3d4d4c05-153,Partner Co-Marketing,content_marketing,7336.29,18138.33,19,2025-06-27,marketing_platform
21ca22a0-5e7,Google Ads - Product,linkedin,5858.0,11254.75,48,2025-06-27,marketing_platform
a33564e7-70a,Customer Proof Campaign,linkedin,1085.63,425.47,60,2025-06-26,marketing_platform
eefcaec6-82e,Usage Expansion Plays,events,3881.7,5979.03,40,2025-06-26,marketing_platform
a286375d-0bf,Cloud Analytics Content Hub,email,5480.64,16998.06,75,2025-06-26,marketing_platform
51adf8d9-2aa,RevOps Field Dinner,google_ads,649.41,635.79,60,2025-06-26,marketing_platform
995cea3b-eb7,Competitive Takeout,webinars,3968.6,12526.75,50,2025-06-26,marketing_platform
16a23b40-a6a,Annual User Conference,google_ads,2625.74,7677.65,38,2025-06-26,marketing_platform
36810bd3-3a7,Enterprise Webinar Series,linkedin,5725.13,4849.43,23,2025-06-26,marketing_platform
752e66cb-ce7,Email Nurture - Enterprise,content_marketing,4204.97,7062.37,9,2025-06-26,marketing_platform
fce1b675-dd4,Product-Led Growth Retargeting,linkedin,6300.49,20059.89,28,2025-06-26,marketing_platform
64d1c0d4-aba,Developer Community Events,google_ads,7978.37,3394.75,11,2025-06-26,marketing_platform
a11f816c-c24,Google Ads - Brand,google_ads,3288.1,10321.83,24,2025-06-26,marketing_platform
3f181f3a-d7d,Google Ads - Product,linkedin,6486.14,15626.8,66,2025-06-25,marketing_platform
e7de65fc-7ab,Developer Community Events,events,1727.74,1943.71,73,2025-06-25,marketing_platform
f8f784db-13b,Competitive Takeout,events,5571.21,3828.3,26,2025-06-25,marketing_platform
5e67654e-4dd,Customer Proof Campaign,content_marketing,6079.18,6618.04,4,2025-06-25,marketing_platform
780a8eb4-6a7,RevOps Field Dinner,email,3980.76,8003.71,42,2025-06-25,marketing_platform
41f38a41-2e7,LinkedIn ABM Campaign,webinars,1837.09,4516.55,27,2025-06-25,marketing_platform
492f1549-6f5,Cloud Analytics Content Hub,webinars,7635.91,15659.77,17,2025-06-25,marketing_platform
bffc3eac-a4b,Analyst Report Sponsorship,google_ads,6945.01,20484.86,49,2025-06-25,marketing_platform
abb1e80a-123,Partner Co-Marketing,webinars,3940.23,3028.89,60,2025-06-25,marketing_platform
63c6e7bb-44d,Usage Expansion Plays,content_marketing,1429.45,3532.04,13,2025-06-25,marketing_platform
e2ead93e-b59,Google Ads - Brand,linkedin,2163.09,2571.35,40,2025-06-24,marketing_platform
bf7a4c8b-f87,RevOps Field Dinner,google_ads,1017.47,2297.94,43,2025-06-24,marketing_platform
e47cdf4c-7b9,LinkedIn ABM Campaign,webinars,2628.29,2818.49,23,2025-06-24,marketing_platform
847b55a6-85a,Partner Co-Marketing,email,492.28,180.15,62,2025-06-24,marketing_platform
db81d427-9c7,Developer Community Events,google_ads,4820.47,13691.52,12,2025-06-24,marketing_platform
ad9d5e58-73b,Analyst Report Sponsorship,events,332.3,819.79,8,2025-06-24,marketing_platform
97312f21-882,Enterprise Webinar Series,webinars,2525.37,7506.53,32,2025-06-24,marketing_platform
13273c14-bc0,Usage Expansion Plays,email,7062.87,11952.26,65,2025-06-24,marketing_platform
9b81de57-eeb,Email Nurture - Enterprise,webinars,6396.48,12313.84,62,2025-06-23,marketing_platform
656f8e42-b96,LinkedIn ABM Campaign,webinars,6047.85,17000.39,3,2025-06-23,marketing_platform
c03050ba-1d9,Cloud Analytics Content Hub,linkedin,3269.42,7290.87,17,2025-06-23,marketing_platform
825b822f-d9c,Google Ads - Brand,content_marketing,1712.76,2099.59,47,2025-06-23,marketing_platform
66e3b3ce-872,Product-Led Growth Retargeting,linkedin,4788.49,10985.47,26,2025-06-23,marketing_platform
cfd68d71-610,Enterprise Webinar Series,events,6709.46,17534.01,27,2025-06-23,marketing_platform
b2c267f9-0c6,Developer Community Events,email,5994.74,5135.03,35,2025-06-23,marketing_platform
b86cbd6e-843,Usage Expansion Plays,email,3258.19,4877.09,27,2025-06-23,marketing_platform
1f3e32e9-15a,Competitive Takeout,events,5208.84,4623.61,16,2025-06-23,marketing_platform
4a29c0a5-062,Customer Proof Campaign,content_marketing,1400.93,726.59,65,2025-06-23,marketing_platform
535f4b4d-080,Finance Leader Roundtable,email,2171.62,4005.55,69,2025-06-23,marketing_platform
b27476f3-694,Email Nurture - Enterprise,content_marketing,4286.3,11574.34,6,2025-06-22,marketing_platform
a6290380-f8c,Customer Proof Campaign,webinars,8552.52,26947.19,73,2025-06-22,marketing_platform
35843ec4-acd,Cloud Analytics Content Hub,email,3280.41,10239.56,20,2025-06-22,marketing_platform
8aa47b0f-d20,Analyst Report Sponsorship,linkedin,3598.82,6771.27,63,2025-06-22,marketing_platform
fdf2b6f9-b7f,Google Ads - Product,events,6334.71,19869.26,31,2025-06-22,marketing_platform
6c132c75-3c1,RevOps Field Dinner,webinars,6185.96,18782.07,28,2025-06-22,marketing_platform
21c02a6b-551,Annual User Conference,google_ads,7238.96,13806.84,41,2025-06-22,marketing_platform
3b37b442-355,Usage Expansion Plays,linkedin,7713.98,21431.71,40,2025-06-21,marketing_platform
6da5c55a-36c,Customer Proof Campaign,content_marketing,7776.06,16757.44,34,2025-06-21,marketing_platform
9a67100c-e92,Developer Community Events,email,2059.65,2404.51,3,2025-06-21,marketing_platform
c6a3559b-bda,Email Nurture - Enterprise,webinars,4562.79,9833.39,31,2025-06-21,marketing_platform
0c5097a1-0c7,Enterprise Webinar Series,content_marketing,3724.48,10168.2,41,2025-06-21,marketing_platform
92a28a4e-c9c,LinkedIn ABM Campaign,google_ads,7700.61,19034.22,6,2025-06-21,marketing_platform
d9f803a6-554,Product-Led Growth Retargeting,linkedin,8972.38,20937.18,28,2025-06-21,marketing_platform
d3e1f690-59d,Competitive Takeout,google_ads,1675.84,1565.3,51,2025-06-21,marketing_platform
88b4147f-7d8,RevOps Field Dinner,webinars,8206.56,15381.67,73,2025-06-21,marketing_platform
195249ff-5f1,Usage Expansion Plays,webinars,2991.73,1501.89,69,2025-06-20,marketing_platform
5c0fedc7-c00,Enterprise Webinar Series,email,7759.09,17258.83,3,2025-06-20,marketing_platform
b9b3516a-42e,Cloud Analytics Content Hub,linkedin,9360.91,29721.14,12,2025-06-20,marketing_platform
7d163c58-42c,Partner Co-Marketing,content_marketing,7995.28,5603.75,6,2025-06-20,marketing_platform
ffccf7f7-805,Developer Community Events,google_ads,1047.34,2990.3,13,2025-06-20,marketing_platform
76b195fa-a8e,Analyst Report Sponsorship,google_ads,762.92,2026.43,2,2025-06-20,marketing_platform
4509f662-9c1,Customer Proof Campaign,google_ads,337.32,719.07,53,2025-06-20,marketing_platform
2a87c618-8cb,Google Ads - Product,google_ads,4162.94,5040.7,15,2025-06-20,marketing_platform
795d411f-d47,Google Ads - Brand,email,9409.95,19917.84,28,2025-06-20,marketing_platform
954c7f80-a81,Competitive Takeout,google_ads,1574.6,2065.57,38,2025-06-20,marketing_platform
1562a65a-39a,Customer Proof Campaign,email,7889.95,4487.89,22,2025-06-19,marketing_platform
6d8952d0-de8,Google Ads - Product,linkedin,9442.22,25984.75,11,2025-06-19,marketing_platform
9cf8db6d-84f,Google Ads - Brand,email,6169.58,2652.9,65,2025-06-19,marketing_platform
01f36e4d-67c,Finance Leader Roundtable,google_ads,8184.72,16348.06,4,2025-06-19,marketing_platform
121fee1a-bb6,Annual User Conference,webinars,8007.57,14970.22,70,2025-06-19,marketing_platform
572fcda4-6a4,Product-Led Growth Retargeting,events,9240.34,11226.94,21,2025-06-19,marketing_platform
4d41df8e-aee,Email Nurture - Enterprise,content_marketing,7432.84,20913.17,18,2025-06-19,marketing_platform
5a309e3d-19e,Competitive Takeout,google_ads,7480.27,23993.74,60,2025-06-19,marketing_platform
30a466ea-1ba,Cloud Analytics Content Hub,content_marketing,3366.09,10615.17,63,2025-06-19,marketing_platform
fe2bfbde-a6c,Partner Co-Marketing,linkedin,3967.37,5213.59,6,2025-06-19,marketing_platform
1eb0430d-a67,Usage Expansion Plays,google_ads,7760.65,24896.96,52,2025-06-19,marketing_platform
6a373880-672,Cloud Analytics Content Hub,webinars,762.7,309.03,73,2025-06-18,marketing_platform
f08e8638-178,Product-Led Growth Retargeting,content_marketing,6718.39,4677.87,72,2025-06-18,marketing_platform
370f3e5b-da9,Customer Proof Campaign,google_ads,3298.63,6165.65,11,2025-06-18,marketing_platform
1a0b2c56-305,Enterprise Webinar Series,events,5453.95,8107.57,52,2025-06-18,marketing_platform
96af42d0-823,Annual User Conference,email,4628.19,13412.37,27,2025-06-18,marketing_platform
fd78785a-d82,Analyst Report Sponsorship,webinars,4287.38,1848.28,34,2025-06-18,marketing_platform
6fe09d4e-aab,Developer Community Events,email,3212.26,9025.49,45,2025-06-18,marketing_platform
a7c8670a-574,Email Nurture - Enterprise,webinars,8379.55,5996.25,38,2025-06-18,marketing_platform
f2578fd1-d6f,Annual User Conference,webinars,2465.37,6611.92,49,2025-06-17,marketing_platform
7be26224-7c2,Cloud Analytics Content Hub,webinars,9044.56,8211.09,22,2025-06-17,marketing_platform
31da8703-b0a,Customer Proof Campaign,webinars,2547.43,5075.24,51,2025-06-17,marketing_platform
24e33bb2-3b1,RevOps Field Dinner,content_marketing,1329.05,1094.15,31,2025-06-17,marketing_platform
1ad11dd0-59d,Partner Co-Marketing,linkedin,2962.82,10057.1,8,2025-06-17,marketing_platform
a162376d-4f1,Analyst Report Sponsorship,linkedin,1319.35,4153.86,9,2025-06-17,marketing_platform
d3b28de0-b87,Developer Community Events,email,1601.86,1805.52,43,2025-06-17,marketing_platform
51596e87-28f,Google Ads - Brand,linkedin,3488.03,1780.66,19,2025-06-16,marketing_platform
445b3285-156,Email Nurture - Enterprise,linkedin,9005.92,25870.43,62,2025-06-16,marketing_platform
114d8b50-63b,RevOps Field Dinner,linkedin,6947.14,8459.6,30,2025-06-16,marketing_platform
f32666da-40b,LinkedIn ABM Campaign,linkedin,2248.42,4426.3,2,2025-06-16,marketing_platform
cbc69a1a-711,Analyst Report Sponsorship,google_ads,6924.69,4909.75,39,2025-06-16,marketing_platform
fa77925c-c9e,Usage Expansion Plays,events,8962.52,16804.72,28,2025-06-16,marketing_platform
11406455-ef0,RevOps Field Dinner,linkedin,5563.54,14162.15,10,2025-06-15,marketing_platform
d49efc4a-3f2,Email Nurture - Enterprise,email,8932.46,7084.06,4,2025-06-15,marketing_platform
435a5d61-475,Annual User Conference,content_marketing,7796.06,13003.22,20,2025-06-15,marketing_platform
89b0cc7e-6e6,Developer Community Events,webinars,6000.74,15597.66,11,2025-06-15,marketing_platform
d07b4fe5-f07,Customer Proof Campaign,email,9425.81,24874.99,56,2025-06-15,marketing_platform
3272fe07-c2d,Cloud Analytics Content Hub,linkedin,693.88,2126.94,57,2025-06-15,marketing_platform
dba8682d-f24,Google Ads - Product,google_ads,2736.31,4616.67,49,2025-06-15,marketing_platform
671ea0ac-e4c,Enterprise Webinar Series,google_ads,8738.45,8821.85,59,2025-06-14,marketing_platform
c433bb4f-596,Partner Co-Marketing,linkedin,9368.64,17581.93,64,2025-06-14,marketing_platform
17fb0e05-cd9,LinkedIn ABM Campaign,linkedin,8931.08,29956.38,53,2025-06-14,marketing_platform
af5654c5-59f,Analyst Report Sponsorship,events,4749.77,3992.86,5,2025-06-14,marketing_platform
5f920d69-e8c,Competitive Takeout,webinars,7017.37,4467.01,72,2025-06-14,marketing_platform
0f3ac50d-abe,Finance Leader Roundtable,events,4331.82,11818.68,5,2025-06-14,marketing_platform
6f979877-d11,Google Ads - Product,email,4767.2,3383.33,55,2025-06-14,marketing_platform
0f5d25f8-fb2,Usage Expansion Plays,webinars,6574.95,11961.23,68,2025-06-13,marketing_platform
95483f2e-315,LinkedIn ABM Campaign,email,4306.17,12666.33,40,2025-06-13,marketing_platform
d3e72294-fac,Customer Proof Campaign,google_ads,305.3,597.66,71,2025-06-13,marketing_platform
9a11b03c-57e,Competitive Takeout,content_marketing,6480.93,13539.93,9,2025-06-13,marketing_platform
2ac8eafe-cbb,Enterprise Webinar Series,content_marketing,1642.68,4772.9,21,2025-06-13,marketing_platform
995d2a8d-91d,Developer Community Events,linkedin,2035.47,4453.94,41,2025-06-13,marketing_platform
56dcd646-968,Analyst Report Sponsorship,linkedin,2863.05,4838.93,4,2025-06-13,marketing_platform
feb50fd1-c70,LinkedIn ABM Campaign,email,4977.4,4589.55,8,2025-06-12,marketing_platform
7dbc6a54-df9,Finance Leader Roundtable,events,8969.24,13343.75,43,2025-06-12,marketing_platform
2fa78c6b-abb,Cloud Analytics Content Hub,content_marketing,5216.73,3477.2,39,2025-06-12,marketing_platform
ab145986-605,Google Ads - Product,webinars,6173.0,17144.62,3,2025-06-12,marketing_platform
21971b30-aeb,Enterprise Webinar Series,linkedin,5003.48,8510.08,64,2025-06-12,marketing_platform
b84da8bc-c2d,Partner Co-Marketing,content_marketing,702.26,2104.78,73,2025-06-12,marketing_platform
19c8ffd2-fe4,Email Nurture - Enterprise,email,2129.51,2177.26,1,2025-06-12,marketing_platform
e18e9618-56b,RevOps Field Dinner,google_ads,7228.65,9514.3,10,2025-06-12,marketing_platform
d4325435-deb,Product-Led Growth Retargeting,content_marketing,988.61,1718.08,40,2025-06-12,marketing_platform
f67a8e99-05c,Google Ads - Brand,linkedin,2365.34,7330.37,23,2025-06-12,marketing_platform
09527407-24a,Customer Proof Campaign,email,3777.83,12759.29,22,2025-06-12,marketing_platform
12acb6f5-b62,Annual User Conference,content_marketing,1436.3,4581.51,16,2025-06-12,marketing_platform
e0197a33-a40,Analyst Report Sponsorship,events,4867.44,4737.57,28,2025-06-11,marketing_platform
263425ea-300,Competitive Takeout,content_marketing,8867.83,7818.24,70,2025-06-11,marketing_platform
9203c88f-b0b,Google Ads - Product,email,1617.23,1801.99,67,2025-06-11,marketing_platform
453c48cf-8b7,Cloud Analytics Content Hub,linkedin,9480.13,12715.18,18,2025-06-11,marketing_platform
54250fd3-ee5,Customer Proof Campaign,webinars,8711.2,9802.93,19,2025-06-11,marketing_platform
