health_id,account_id,health_score,churn_risk,product_adoption,last_login,nps_score,updated_at
HLT-146,ACC-146,73,low,high,2025-07-05T17:00:00,75,2025-07-10T12:00:00
HLT-147,ACC-147,55,low,high,2025-07-08T21:00:00,52,2025-07-10T08:00:00
HLT-148,ACC-148,84,low,medium,2025-07-07T08:00:00,15,2025-07-10T13:00:00
HLT-149,ACC-149,63,low,medium,2025-07-07T21:00:00,-9,2025-07-10T10:00:00
HLT-150,ACC-150,90,medium,high,2025-07-08T17:00:00,79,2025-07-10T10:00:00
HLT-151,ACC-151,69,high,medium,2025-07-04T07:00:00,21,2025-07-10T00:00:00
HLT-152,ACC-152,65,medium,low,2025-07-09T12:00:00,12,2025-07-10T13:00:00
HLT-153,ACC-153,36,medium,low,2025-07-01T14:00:00,24,2025-07-10T04:00:00
HLT-154,ACC-154,59,high,low,2025-07-08T05:00:00,78,2025-07-09T23:00:00
HLT-155,ACC-155,63,medium,medium,2025-07-05T19:00:00,38,2025-07-10T10:00:00
HLT-156,ACC-156,92,low,high,2025-07-06T21:00:00,73,2025-07-10T06:00:00
HLT-157,ACC-157,68,low,medium,2025-07-04T11:00:00,59,2025-06-26T14:00:00
HLT-158,ACC-158,55,low,medium,2025-07-07T07:00:00,59,2025-07-10T06:00:00
HLT-159,ACC-159,86,low,medium,2025-07-10T04:00:00,81,2025-07-10T08:00:00
HLT-161,ACC-161,68,low,medium,2025-07-07T22:00:00,54,2025-07-09T20:00:00
HLT-162,ACC-162,84,low,low,2025-07-06T13:00:00,14,2025-07-09T23:00:00
HLT-163,ACC-163,71,high,medium,2025-07-06T02:00:00,74,2025-07-10T02:00:00
HLT-164,ACC-164,89,low,medium,2025-07-07T17:00:00,49,2025-07-10T00:00:00
HLT-165,ACC-165,66,medium,high,2025-07-04T10:00:00,47,2025-07-09T22:00:00
HLT-166,ACC-166,81,medium,high,2025-07-04T01:00:00,-4,2025-07-10T12:00:00
HLT-167,ACC-167,73,medium,medium,2025-07-04T22:00:00,56,2025-07-10T07:00:00
HLT-168,ACC-168,55,low,high,2025-07-07T22:00:00,59,2025-07-10T12:00:00
HLT-169,ACC-169,93,low,high,2025-07-04T14:00:00,2,2025-07-10T10:00:00
HLT-170,ACC-170,72,low,high,2025-07-05T06:00:00,72,2025-07-03T14:00:00
HLT-171,ACC-171,94,low,medium,2025-07-08T19:00:00,80,2025-07-10T06:00:00
HLT-172,ACC-172,35,medium,low,2025-07-04T14:00:00,11,2025-07-10T06:00:00
HLT-173,ACC-173,69,medium,medium,2025-07-07T09:00:00,37,2025-07-10T10:00:00
HLT-174,ACC-174,63,low,high,2025-07-05T14:00:00,54,2025-07-10T01:00:00
HLT-175,ACC-175,55,high,medium,2025-07-09T02:00:00,48,2025-07-10T08:00:00
HLT-176,ACC-176,69,low,medium,2025-07-07T22:00:00,20,2025-07-09T21:00:00
HLT-177,ACC-177,65,low,medium,2025-07-08T12:00:00,44,2025-07-10T08:00:00
HLT-178,ACC-178,82,low,high,2025-07-05T19:00:00,59,2025-07-10T03:00:00
HLT-179,ACC-179,64,low,medium,2025-07-06T09:00:00,41,2025-07-10T11:00:00
HLT-180,ACC-180,73,high,high,2025-07-09T00:00:00,-9,2025-07-10T00:00:00
HLT-181,ACC-181,85,low,low,2025-07-07T20:00:00,81,2025-07-10T13:00:00
HLT-182,ACC-182,80,high,high,2025-07-09T00:00:00,1,2025-07-10T11:00:00
HLT-183,ACC-183,80,low,medium,2025-07-05T04:00:00,49,2025-07-01T14:00:00
HLT-184,ACC-184,58,high,high,2025-07-10T08:00:00,4,2025-07-09T22:00:00
HLT-185,ACC-185,64,low,high,2025-07-06T10:00:00,67,2025-07-10T13:00:00
HLT-186,ACC-186,78,low,medium,2025-07-05T17:00:00,58,2025-07-09T21:00:00
HLT-187,ACC-187,64,medium,medium,2025-07-07T15:00:00,6,2025-07-10T11:00:00
HLT-188,ACC-188,88,low,high,2025-07-07T23:00:00,9,2025-07-10T01:00:00
HLT-189,ACC-189,38,high,low,2025-06-17T14:00:00,-17,2025-07-10T06:00:00
HLT-190,ACC-190,89,medium,medium,2025-07-10T02:00:00,12,2025-07-10T06:00:00
HLT-191,ACC-191,47,high,low,2025-06-19T14:00:00,-17,2025-07-10T11:00:00
HLT-192,ACC-192,93,low,medium,2025-07-05T05:00:00,30,2025-07-10T05:00:00
HLT-193,ACC-193,68,low,high,2025-07-05T03:00:00,61,2025-07-10T06:00:00
HLT-194,ACC-194,57,low,medium,2025-07-03T17:00:00,67,2025-07-10T03:00:00
HLT-195,ACC-195,84,low,high,2025-07-07T05:00:00,30,2025-07-10T06:00:00
HLT-196,ACC-196,66,low,high,2025-07-07T23:00:00,-3,2025-07-04T14:00:00
HLT-197,ACC-197,79,low,medium,2025-07-09T04:00:00,58,2025-07-09T20:00:00
HLT-198,ACC-198,67,low,medium,2025-07-04T13:00:00,45,2025-07-10T06:00:00
HLT-199,ACC-199,82,medium,medium,2025-07-04T05:00:00,79,2025-07-10T06:00:00
HLT-200,ACC-200,56,low,medium,2025-07-09T18:00:00,77,2025-07-10T11:00:00
HLT-201,ACC-201,82,low,high,2025-07-04T01:00:00,80,2025-07-09T21:00:00
HLT-202,ACC-202,90,low,high,2025-07-07T16:00:00,31,2025-07-10T13:00:00
HLT-203,ACC-203,93,medium,high,2025-07-08T10:00:00,2,2025-07-09T20:00:00
HLT-204,ACC-204,67,low,low,2025-07-06T07:00:00,3,2025-07-10T12:00:00
HLT-205,ACC-205,76,low,medium,2025-07-09T19:00:00,58,2025-07-09T23:00:00
HLT-206,ACC-206,73,low,medium,2025-07-08T02:00:00,36,2025-07-10T10:00:00
HLT-207,ACC-207,59,low,high,2025-07-05T19:00:00,50,2025-07-09T23:00:00
HLT-208,ACC-208,55,low,medium,2025-07-07T12:00:00,80,2025-07-10T02:00:00
HLT-209,ACC-209,94,low,high,2025-07-05T04:00:00,67,2025-07-04T14:00:00
HLT-210,ACC-210,42,high,low,2025-07-02T14:00:00,-3,2025-07-10T07:00:00
HLT-211,ACC-211,66,low,medium,2025-07-06T13:00:00,58,2025-07-09T20:00:00
HLT-212,ACC-212,78,low,medium,2025-07-05T06:00:00,32,2025-07-10T11:00:00
HLT-214,ACC-214,71,high,high,2025-07-10T09:00:00,19,2025-07-09T21:00:00
HLT-215,ACC-215,87,low,medium,2025-07-10T00:00:00,83,2025-07-10T13:00:00
HLT-216,ACC-216,64,high,high,2025-07-08T21:00:00,5,2025-07-09T22:00:00
HLT-217,ACC-217,77,medium,medium,2025-07-09T17:00:00,67,2025-07-10T12:00:00
HLT-218,ACC-218,87,low,low,2025-07-09T19:00:00,49,2025-07-09T23:00:00
HLT-219,ACC-219,68,medium,medium,2025-07-08T14:00:00,80,2025-07-10T08:00:00
HLT-220,ACC-220,76,low,medium,2025-07-09T22:00:00,84,2025-07-10T05:00:00
HLT-221,ACC-221,88,medium,high,2025-07-07T01:00:00,-7,2025-07-10T07:00:00
HLT-222,ACC-222,74,low,medium,2025-07-09T20:00:00,38,2025-07-10T12:00:00
HLT-223,ACC-223,72,low,medium,2025-07-03T15:00:00,49,2025-07-10T12:00:00
HLT-224,ACC-224,59,low,low,2025-07-05T14:00:00,13,2025-07-10T13:00:00
HLT-225,ACC-225,93,low,medium,2025-07-08T23:00:00,26,2025-07-10T13:00:00
HLT-226,ACC-226,82,low,high,2025-07-04T06:00:00,-8,2025-07-10T13:00:00
HLT-227,ACC-227,63,low,high,2025-07-03T16:00:00,76,2025-07-09T20:00:00
HLT-228,ACC-228,68,medium,medium,2025-07-04T17:00:00,80,2025-07-10T10:00:00
HLT-229,ACC-229,43,high,low,2025-06-25T14:00:00,22,2025-07-10T11:00:00
HLT-230,ACC-230,65,low,high,2025-07-06T07:00:00,-3,2025-07-10T06:00:00
HLT-231,ACC-231,62,low,high,2025-07-05T10:00:00,21,2025-07-10T02:00:00
HLT-232,ACC-232,72,low,high,2025-07-07T23:00:00,64,2025-07-10T10:00:00
HLT-233,ACC-233,85,low,medium,2025-07-08T22:00:00,2,2025-07-10T03:00:00
HLT-234,ACC-234,62,low,medium,2025-07-09T20:00:00,83,2025-07-10T04:00:00
HLT-235,ACC-235,71,low,high,2025-07-08T10:00:00,69,2025-06-27T14:00:00
HLT-236,ACC-236,31,high,low,2025-06-13T14:00:00,3,2025-07-10T01:00:00
HLT-237,ACC-237,55,high,medium,2025-07-03T15:00:00,84,2025-07-10T09:00:00
HLT-238,ACC-238,82,low,high,2025-07-08T21:00:00,11,2025-07-10T03:00:00
HLT-239,ACC-239,90,medium,low,2025-07-07T04:00:00,4,2025-07-10T09:00:00
HLT-240,ACC-240,61,low,high,2025-07-07T10:00:00,33,2025-07-10T02:00:00
HLT-241,ACC-241,72,high,high,2025-07-06T13:00:00,63,2025-07-10T10:00:00
HLT-242,ACC-242,72,medium,high,2025-07-07T16:00:00,56,2025-07-10T10:00:00
HLT-243,ACC-243,77,medium,high,2025-07-10T12:00:00,15,2025-07-10T13:00:00
HLT-244,ACC-244,67,low,medium,2025-07-04T02:00:00,7,2025-07-10T05:00:00
HLT-245,ACC-245,73,low,high,2025-07-04T11:00:00,41,2025-07-10T03:00:00
HLT-246,ACC-246,87,medium,medium,2025-07-04T13:00:00,64,2025-07-09T22:00:00
HLT-247,ACC-247,63,low,low,2025-07-08T12:00:00,64,2025-07-09T23:00:00
HLT-248,ACC-248,56,medium,low,2025-06-27T14:00:00,-20,2025-07-10T12:00:00
HLT-249,ACC-249,57,medium,high,2025-07-04T06:00:00,62,2025-07-10T02:00:00
HLT-250,ACC-250,61,low,medium,2025-07-04T16:00:00,58,2025-07-10T01:00:00
HLT-251,ACC-251,89,medium,high,2025-07-10T08:00:00,3,2025-07-09T21:00:00
HLT-252,ACC-252,90,low,medium,2025-07-05T12:00:00,70,2025-07-10T09:00:00
HLT-253,ACC-253,68,low,low,2025-07-08T14:00:00,22,2025-07-09T23:00:00
HLT-254,ACC-254,93,high,low,2025-07-05T05:00:00,-2,2025-07-10T07:00:00
HLT-255,ACC-255,80,low,medium,2025-07-09T06:00:00,48,2025-07-10T06:00:00
HLT-256,ACC-256,87,medium,medium,2025-07-05T11:00:00,32,2025-07-10T00:00:00
HLT-257,ACC-257,61,low,high,2025-07-04T20:00:00,82,2025-07-09T21:00:00
HLT-258,ACC-258,66,medium,medium,2025-07-07T15:00:00,43,2025-07-10T05:00:00
HLT-259,ACC-259,44,medium,high,2025-07-07T08:00:00,17,2025-07-09T21:00:00
HLT-260,ACC-260,83,low,high,2025-07-04T06:00:00,56,2025-07-10T00:00:00
HLT-261,ACC-261,62,low,high,2025-07-06T20:00:00,5,2025-07-05T14:00:00
HLT-262,ACC-262,63,medium,low,2025-07-05T05:00:00,25,2025-07-10T04:00:00
HLT-263,ACC-263,78,low,medium,2025-07-07T10:00:00,0,2025-07-10T04:00:00
HLT-264,ACC-264,58,low,high,2025-07-04T12:00:00,16,2025-07-10T11:00:00
HLT-265,ACC-265,60,low,medium,2025-07-10T11:00:00,-7,2025-07-10T10:00:00
HLT-267,ACC-267,40,medium,low,2025-06-29T14:00:00,7,2025-07-10T00:00:00
HLT-268,ACC-268,67,high,medium,2025-07-09T21:00:00,-6,2025-07-09T23:00:00
HLT-269,ACC-269,68,low,medium,2025-07-05T16:00:00,6,2025-07-10T07:00:00
HLT-270,ACC-270,88,medium,medium,2025-07-06T23:00:00,39,2025-07-10T03:00:00
HLT-271,ACC-271,64,medium,low,2025-07-04T00:00:00,12,2025-07-10T03:00:00
HLT-272,ACC-272,65,medium,medium,2025-07-10T01:00:00,73,2025-07-10T01:00:00
HLT-273,ACC-273,92,low,high,2025-07-06T22:00:00,43,2025-07-10T08:00:00
HLT-274,ACC-274,81,low,medium,2025-07-08T08:00:00,33,2025-07-03T14:00:00
HLT-275,ACC-275,58,medium,medium,2025-07-06T13:00:00,11,2025-07-10T01:00:00
HLT-276,ACC-276,91,medium,medium,2025-07-04T05:00:00,3,2025-07-10T08:00:00
HLT-277,ACC-277,86,low,low,2025-07-03T23:00:00,54,2025-07-10T08:00:00
HLT-278,ACC-278,83,low,high,2025-07-08T09:00:00,57,2025-07-10T05:00:00
HLT-279,ACC-279,89,low,medium,2025-07-03T19:00:00,-3,2025-07-09T20:00:00
HLT-280,ACC-280,71,medium,low,2025-07-08T18:00:00,23,2025-07-10T12:00:00
HLT-281,ACC-281,66,low,medium,2025-07-05T11:00:00,77,2025-07-10T03:00:00
HLT-282,ACC-282,75,high,low,2025-07-06T09:00:00,74,2025-07-10T01:00:00
HLT-283,ACC-283,20,high,low,2025-06-05T14:00:00,-19,2025-07-10T03:00:00
HLT-284,ACC-284,88,low,high,2025-07-09T01:00:00,76,2025-07-09T20:00:00
HLT-285,ACC-285,91,medium,low,2025-07-08T02:00:00,80,2025-07-10T02:00:00
HLT-286,ACC-286,52,medium,low,2025-06-17T14:00:00,-11,2025-07-10T04:00:00
HLT-287,ACC-287,75,low,low,2025-07-06T09:00:00,23,2025-06-27T14:00:00
HLT-288,ACC-288,89,low,high,2025-07-06T05:00:00,11,2025-07-09T20:00:00
HLT-289,ACC-289,80,low,high,2025-07-05T23:00:00,59,2025-07-10T00:00:00
HLT-290,ACC-290,76,low,low,2025-07-07T02:00:00,-9,2025-07-10T04:00:00
HLT-291,ACC-291,61,low,medium,2025-07-09T22:00:00,-7,2025-07-10T05:00:00
HLT-292,ACC-292,86,low,high,2025-07-07T23:00:00,-2,2025-07-09T20:00:00
HLT-293,ACC-293,87,low,medium,2025-07-06T17:00:00,42,2025-07-10T07:00:00
HLT-294,ACC-294,62,low,low,2025-07-08T03:00:00,81,2025-07-09T21:00:00
HLT-295,ACC-295,84,low,medium,2025-07-05T04:00:00,38,2025-07-10T07:00:00
HLT-296,ACC-296,57,low,medium,2025-07-05T06:00:00,69,2025-07-10T04:00:00
HLT-297,ACC-297,64,high,medium,2025-07-06T14:00:00,53,2025-07-10T08:00:00
HLT-298,ACC-298,93,low,high,2025-07-10T06:00:00,26,2025-07-10T00:00:00
HLT-299,ACC-299,59,medium,high,2025-07-08T08:00:00,59,2025-07-09T21:00:00
HLT-300,ACC-300,82,low,low,2025-07-06T09:00:00,59,2025-07-10T09:00:00
HLT-301,ACC-301,92,low,medium,2025-07-05T20:00:00,39,2025-07-10T12:00:00
HLT-302,ACC-302,61,high,high,2025-07-06T17:00:00,12,2025-07-10T12:00:00
HLT-303,ACC-303,73,low,low,2025-07-07T14:00:00,59,2025-07-10T11:00:00
